<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ABE,D,20060921,000000,10.575,11.171,10.539,10.721,921653,0
ABE,D,20060922,000000,10.713,10.713,10.31,10.631,57868,0
ABE,D,20060925,000000,10.53,10.841,10.53,10.841,137058,0
ABE,D,20060926,000000,10.906,11.043,10.906,11.034,114527,0
ABE,D,20060927,000000,11.08,11.08,10.721,10.952,75359,0
ABE,D,20060928,000000,10.721,10.997,10.676,10.997,40882,0
ABE,D,20060929,000000,11.024,11.024,10.814,10.997,39042,0
ABE,D,20061002,000000,10.997,10.997,10.731,10.997,71413,0
ABE,D,20061003,000000,10.915,10.997,10.915,10.989,23138,0
ABE,D,20061004,000000,10.906,11.016,10.906,11.016,72426,0
ABE,D,20061005,000000,10.997,11.071,10.997,11.043,117129,0
ABE,D,20061006,000000,11.08,11.409,11.043,11.409,76626,0
ABE,D,20061009,000000,11.409,11.482,11.363,11.482,22065,0
ABE,D,20061010,000000,11.502,11.502,11.363,11.502,71497,0
ABE,D,20061011,000000,11.548,11.639,11.52,11.548,43575,0
ABE,D,20061012,000000,11.594,11.868,11.594,11.832,17960,0
ABE,D,20061013,000000,11.914,11.96,11.74,11.841,123772,0
ABE,D,20061016,000000,11.896,11.896,11.73,11.822,25482,0
ABE,D,20061017,000000,11.455,11.548,11.3,11.373,29172,0
ABE,D,20061018,000000,11.319,11.73,11.319,11.409,27565,0
ABE,D,20061019,000000,11.363,11.556,11.363,11.409,14621,0
ABE,D,20061020,000000,11.373,11.492,11.227,11.227,17770,0
ABE,D,20061023,000000,11.272,11.363,11.272,11.363,7165,0
ABE,D,20061024,000000,11.455,11.455,11.363,11.455,16876,0
ABE,D,20061025,000000,11.363,11.438,11.236,11.319,11871,0
ABE,D,20061026,000000,11.245,11.363,11.18,11.18,16479,0
ABE,D,20061027,000000,11.18,11.18,11.016,11.135,8752,0
ABE,D,20061030,000000,11.18,11.18,10.906,11.043,13940,0
ABE,D,20061031,000000,11.18,11.326,10.989,11.043,2190,0
ABE,D,20061102,000000,11.319,11.319,10.997,11.043,26515,0
ABE,D,20061103,000000,11.309,11.309,11.007,11.007,13322,0
ABE,D,20061106,000000,11.043,11.18,11.043,11.18,4839,0
ABE,D,20061107,000000,11.556,12.373,11.556,12.373,226800,0
ABE,D,20061108,000000,12.748,13.289,12.693,12.738,124074,0
ABE,D,20061109,000000,13.197,13.197,12.464,12.601,26306,0
ABE,D,20061110,000000,12.647,12.647,12.344,12.417,27356,0
ABE,D,20061113,000000,12.445,12.454,12.051,12.189,10889,0
