<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ANR,D,20210108,000000,29.9,37.995,29,32.46,541406,0
ANR,D,20210111,000000,33.5,34.08,32,32.5,82546,0
ANR,D,20210112,000000,32.6,33,32.02,32.5,23713,0
ANR,D,20210113,000000,32.6,32.795,31.7,32.4,14875,0
ANR,D,20210114,000000,31.5,31.98,30.5,31.005,25737,0
ANR,D,20210115,000000,31.38,31.9,31.15,31.15,3964,0
ANR,D,20210118,000000,31,31,29.5,29.805,14024,0
ANR,D,20210119,000000,29.8,29.8,28.4,28.85,26561,0
ANR,D,20210120,000000,28.5,28.99,28.2,28.5,5100,0
ANR,D,20210121,000000,28.59,29.99,28.59,29.26,8002,0
ANR,D,20210122,000000,29.7,29.9,28.9,29.73,2493,0
ANR,D,20210125,000000,29.99,30.3,29.005,29.19,9803,0
ANR,D,20210126,000000,29.98,29.98,29.015,29.51,4780,0
ANR,D,20210127,000000,29.99,30.9,28.035,28.6,10607,0
ANR,D,20210128,000000,30.2,30.2,28.4,29.42,9089,0
ANR,D,20210129,000000,29.42,29.84,28,28.6,10264,0
ANR,D,20210201,000000,28.5,28.85,28.285,28.6,1668,0
ANR,D,20210202,000000,29,29,28.5,28.6,1996,0
ANR,D,20210203,000000,28.6,28.9,28.495,28.51,2146,0
ANR,D,20210204,000000,28.51,30.2,28.51,29.25,14316,0
ANR,D,20210205,000000,29.9,29.9,29.245,29.89,3041,0
