<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ANRA,D,20210108,000000,29.8,34.5,28.295,31.09,569332,0
ANRA,D,20210111,000000,31.6,32.005,31.1,31.7,50947,0
ANRA,D,20210112,000000,31.7,31.8,31,31.65,40454,0
ANRA,D,20210113,000000,31.3,31.6,30.24,30.995,25246,0
ANRA,D,20210114,000000,31.58,31.58,30,30.055,37848,0
ANRA,D,20210115,000000,30,30.5,29.51,30.25,10295,0
ANRA,D,20210118,000000,30,30,28.88,29,22233,0
ANRA,D,20210119,000000,29,29,27.61,28,28413,0
ANRA,D,20210120,000000,27.8,27.8,27.1,27.5,14483,0
ANRA,D,20210121,000000,27.2,28.88,27.2,28.08,8900,0
ANRA,D,20210122,000000,28.78,28.78,28.1,28.22,2117,0
ANRA,D,20210125,000000,28.5,28.845,28.12,28.505,1999,0
ANRA,D,20210126,000000,28.505,29,27.9,29,12668,0
ANRA,D,20210127,000000,28.9,29,27.4,28,11235,0
ANRA,D,20210128,000000,28,28.4,27.2,27.8,7414,0
ANRA,D,20210129,000000,27.5,28,27.5,27.61,5855,0
ANRA,D,20210201,000000,27.61,28.4,27.505,28.3,6476,0
ANRA,D,20210202,000000,28.3,28.435,27.515,27.515,6077,0
ANRA,D,20210203,000000,27.7,27.95,27.52,27.6,5189,0
ANRA,D,20210204,000000,27.8,29,27.8,28.22,16675,0
ANRA,D,20210205,000000,28.6,28.9,28.305,28.515,2010,0
