<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
APT,D,19970424,000000,1.5415,1.5415,1.5415,1.5415,2056788,0
APT,D,19970425,000000,1.4782,1.4782,1.4782,1.4782,966404,0
APT,D,19970428,000000,1.3441,1.3441,1.3441,1.3441,464980,0
APT,D,19970429,000000,1.2358,1.2358,1.2358,1.2358,1918998,0
APT,D,19970430,000000,1.3058,1.3058,1.3058,1.3058,814107,0
APT,D,19970505,000000,1.2932,1.2932,1.2932,1.2932,1582962,0
APT,D,19970506,000000,1.3762,1.3762,1.3762,1.3762,1926815,0
APT,D,19970507,000000,1.3698,1.3698,1.3698,1.3698,957867,0
APT,D,19970508,000000,1.4143,1.4143,1.4143,1.4143,851634,0
APT,D,19970509,000000,1.4906,1.4906,1.4906,1.4906,829102,0
APT,D,19970512,000000,1.5289,1.5289,1.5289,1.5289,1146958,0
APT,D,19970513,000000,1.5353,1.5353,1.5353,1.5353,779429,0
APT,D,19970514,000000,1.4398,1.4398,1.4398,1.4398,407400,0
APT,D,19970515,000000,1.4906,1.4906,1.4906,1.4906,375074,0
APT,D,19970516,000000,1.4782,1.4782,1.4782,1.4782,306574,0
APT,D,19970519,000000,1.5036,1.5036,1.5036,1.5036,250795,0
APT,D,19970520,000000,1.5036,1.5036,1.5036,1.5036,151200,0
APT,D,19970521,000000,1.4589,1.4589,1.4589,1.4589,440222,0
APT,D,19970522,000000,1.4398,1.4398,1.4398,1.4398,486897,0
APT,D,19970523,000000,1.2932,1.2932,1.2932,1.2932,416397,0
APT,D,19970526,000000,1.3058,1.3058,1.3058,1.3058,358170,0
APT,D,19970527,000000,1.2742,1.2742,1.2742,1.2742,432387,0
APT,D,19970528,000000,1.2742,1.2742,1.2742,1.2742,345868,0
APT,D,19970530,000000,1.3377,1.3377,1.3377,1.3377,258084,0
APT,D,19970602,000000,1.2932,1.2932,1.2932,1.2932,137784,0
APT,D,19970603,000000,1.3187,1.3187,1.3187,1.3187,288321,0
APT,D,19970604,000000,1.2932,1.2932,1.2932,1.2932,402118,0
APT,D,19970605,000000,1.2804,1.2804,1.2804,1.2804,257599,0
APT,D,19970606,000000,1.3058,1.3058,1.3058,1.3058,112735,0
APT,D,19970609,000000,1.3315,1.3315,1.3315,1.3315,147058,0
APT,D,19970610,000000,1.2997,1.2997,1.2997,1.2997,327088,0
APT,D,19970611,000000,1.2804,1.2804,1.2804,1.2804,155846,0
APT,D,19970612,000000,1.3887,1.3887,1.3887,1.3887,468189,0
APT,D,19970613,000000,1.4206,1.4206,1.4206,1.4206,496997,0
APT,D,19970616,000000,1.3951,1.3951,1.3951,1.3951,170647,0
APT,D,19970617,000000,1.3762,1.3762,1.3762,1.3762,152840,0
APT,D,19970618,000000,1.3762,1.3762,1.3762,1.3762,579233,0
APT,D,19970619,000000,1.3951,1.3951,1.3951,1.3951,987132,0
APT,D,19970620,000000,1.4398,1.4398,1.4398,1.4398,453585,0
APT,D,19970623,000000,1.3951,1.3951,1.3951,1.3951,286395,0
APT,D,19970624,000000,1.3951,1.3951,1.3951,1.3951,548818,0
APT,D,19970625,000000,1.4589,1.4589,1.4589,1.4589,545148,0
APT,D,19970626,000000,1.4398,1.4398,1.4398,1.4398,1146289,0
APT,D,19970627,000000,1.4589,1.4589,1.4589,1.4589,455057,0
APT,D,19970630,000000,1.4589,1.4589,1.4589,1.4589,320423,0
APT,D,19970701,000000,1.4333,1.4333,1.4333,1.4333,226827,0
APT,D,19970702,000000,1.4333,1.4333,1.4333,1.4333,174894,0
APT,D,19970703,000000,1.4462,1.4462,1.4462,1.4462,240442,0
APT,D,19970704,000000,1.5036,1.5036,1.5036,1.5036,349701,0
APT,D,19970707,000000,1.5036,1.5036,1.5036,1.5036,272762,0
APT,D,19970708,000000,1.5099,1.5099,1.5099,1.5099,88449,0
APT,D,19970709,000000,1.5672,1.5672,1.5672,1.5672,247895,0
APT,D,19970710,000000,1.5672,1.5672,1.5672,1.5672,1026402,0
APT,D,19970711,000000,1.5609,1.5609,1.5609,1.5609,859557,0
APT,D,19970714,000000,1.5036,1.5036,1.5036,1.5036,231783,0
APT,D,19970715,000000,1.3887,1.3887,1.3887,1.3887,281727,0
APT,D,19970716,000000,1.4333,1.4333,1.4333,1.4333,295521,0
