<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ARH,D,20160322,000000,9.96,9.96,9.3774,9.716,9726,0
ARH,D,20160323,000000,9.779,9.779,8.8696,9.591,10498,0
ARH,D,20160324,000000,9.559,9.653,9.559,9.653,2773,0
ARH,D,20160329,000000,9.4651,9.4713,9.4022,9.4713,2952,0
ARH,D,20160330,000000,9.4713,9.716,9.4713,9.71,5552,0
ARH,D,20160331,000000,9.4093,9.672,9.4093,9.672,33,0
ARH,D,20160401,000000,9.623,9.623,9.623,9.623,168,0
ARH,D,20160404,000000,9.623,9.623,9.623,9.623,263,0
ARH,D,20160405,000000,9.623,9.623,9.559,9.559,1767,0
ARH,D,20160406,000000,9.623,9.623,9.4651,9.4651,1124,0
ARH,D,20160407,000000,9.559,9.559,9.4332,9.4332,190,0
ARH,D,20160408,000000,9.4332,9.716,9.4332,9.4403,3743,0
ARH,D,20160411,000000,9.704,9.704,9.704,9.704,1,0
ARH,D,20160412,000000,9.4403,9.634,9.4332,9.634,535,0
ARH,D,20160413,000000,9.616,9.616,9.4403,9.616,420,0
ARH,D,20160414,000000,9.529,9.591,9.529,9.591,1284,0
ARH,D,20160415,000000,9.4022,9.566,9.3401,9.566,2840,0
ARH,D,20160418,000000,9.4093,9.4093,9.3968,9.3968,1347,0
ARH,D,20160419,000000,9.3525,9.3525,9.3286,9.3286,1305,0
ARH,D,20160420,000000,9.3091,9.3091,8.9006,8.9139,2537,0
ARH,D,20160421,000000,9.0894,9.1523,9.0894,9.0894,1105,0
ARH,D,20160422,000000,9.0894,9.3401,9.0894,9.3401,176,0
ARH,D,20160425,000000,9.1523,9.1523,8.9086,8.9086,1611,0
ARH,D,20160426,000000,9.1204,9.529,9.1204,9.529,4650,0
ARH,D,20160427,000000,9.529,9.842,9.529,9.534,12667,0
ARH,D,20160428,000000,9.54,9.54,9.54,9.54,471,0
ARH,D,20160502,000000,9.591,9.591,9.591,9.591,152,0
ARH,D,20160504,000000,9.1833,9.3649,9.1709,9.1709,1860,0
ARH,D,20160506,000000,9.2763,9.71,9.2763,9.3401,1596,0
ARH,D,20160509,000000,9.4022,9.4022,9.4022,9.4022,17,0
ARH,D,20160510,000000,9.4022,9.4465,9.4022,9.4465,1151,0
ARH,D,20160511,000000,9.4146,9.773,9.4146,9.716,4462,0
ARH,D,20160512,000000,9.742,9.742,9.591,9.672,4005,0
ARH,D,20160513,000000,9.653,9.653,9.653,9.653,319,0
ARH,D,20160516,000000,9.691,9.71,9.666,9.71,1404,0
ARH,D,20160517,000000,9.716,9.716,9.686,9.686,2495,0
ARH,D,20160518,000000,9.653,9.653,9.653,9.653,96,0
ARH,D,20160519,000000,9.591,9.716,9.591,9.716,17321,0
ARH,D,20160520,000000,9.773,9.779,9.773,9.779,4461,0
ARH,D,20160523,000000,9.653,9.653,9.591,9.591,1037,0
ARH,D,20160524,000000,9.716,9.779,9.716,9.722,1545,0
ARH,D,20160525,000000,9.779,9.779,9.779,9.779,768,0
ARH,D,20160530,000000,9.716,9.716,9.597,9.716,614,0
ARH,D,20160531,000000,9.686,9.716,9.591,9.716,2582,0
ARH,D,20160601,000000,9.597,9.597,9.4279,9.4279,1494,0
ARH,D,20160602,000000,9.4093,9.779,9.4022,9.779,5760,0
ARH,D,20160603,000000,9.779,9.779,9.779,9.779,126,0
ARH,D,20160606,000000,9.779,9.779,9.529,9.529,546,0
ARH,D,20160607,000000,9.516,9.766,9.516,9.766,1659,0
ARH,D,20160608,000000,9.497,9.591,9.497,9.591,1516,0
ARH,D,20160609,000000,9.591,9.591,9.591,9.591,241,0
