<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ASB,D,20071030,000000,3.7149,3.951,3.543,3.6986,243667,0
ASB,D,20071031,000000,3.6932,3.6932,3.5698,3.5698,41067,0
ASB,D,20071102,000000,3.5966,3.677,3.5698,3.6234,45975,0
ASB,D,20071105,000000,3.6932,3.6932,3.5698,3.5698,35826,0
ASB,D,20071106,000000,3.6234,3.6234,3.5966,3.6234,24652,0
ASB,D,20071107,000000,3.6234,3.6288,3.4356,3.4356,82163,0
ASB,D,20071108,000000,3.4626,3.5375,3.1189,3.5375,61427,0
ASB,D,20071109,000000,3.3014,3.543,3.3014,3.5375,26700,0
ASB,D,20071112,000000,3.6986,3.6986,3.3283,3.4893,21087,0
ASB,D,20071113,000000,3.543,3.5591,3.4893,3.4893,97569,0
ASB,D,20071114,000000,3.704,3.704,3.4893,3.6181,638,0
ASB,D,20071115,000000,3.4893,3.5591,3.2316,3.5591,10728,0
ASB,D,20071116,000000,3.4838,3.4893,3.4838,3.4893,2437,0
ASB,D,20071119,000000,3.543,3.5591,3.543,3.5591,184,0
ASB,D,20071120,000000,3.543,3.543,3.3497,3.3497,881,0
ASB,D,20071121,000000,3.1833,3.1833,2.9524,2.9524,2684,0
ASB,D,20071122,000000,2.9524,2.9524,2.9524,2.9524,1304,0
ASB,D,20071123,000000,2.6894,3.3229,2.6894,3.3229,840,0
ASB,D,20071126,000000,3.5375,3.5591,3.2209,3.2209,11048,0
ASB,D,20071127,000000,3.2209,3.3764,3.2209,3.3014,1589,0
ASB,D,20071128,000000,3.1135,3.4893,3.1135,3.4893,22696,0
ASB,D,20071130,000000,3.194,3.5966,3.194,3.5966,161962,0
ASB,D,20071203,000000,3.5966,3.704,3.4893,3.704,60881,0
ASB,D,20071205,000000,3.5913,3.6503,3.4141,3.5966,14793,0
ASB,D,20071206,000000,3.5966,3.6986,3.5966,3.6986,16897,0
ASB,D,20071210,000000,3.4838,3.5913,3.4838,3.4947,1916,0
ASB,D,20071211,000000,3.4893,3.8918,3.4893,3.8918,140543,0
ASB,D,20071212,000000,3.9026,3.9026,3.7683,3.865,12253,0
ASB,D,20071213,000000,3.7683,3.8597,3.7683,3.8597,1582,0
ASB,D,20071214,000000,3.7149,3.865,3.4893,3.865,190021,0
ASB,D,20071217,000000,3.8597,3.8597,3.7952,3.7952,1221,0
ASB,D,20071218,000000,3.7577,3.7577,3.7577,3.7577,373,0
ASB,D,20071219,000000,3.865,3.865,3.865,3.865,3725,0
ASB,D,20071220,000000,3.865,4.2408,3.865,4.2408,41086,0
ASB,D,20071221,000000,4.2408,4.5629,4.2408,4.4018,17413,0
ASB,D,20071227,000000,4.4072,4.7776,4.4018,4.5629,10805,0
ASB,D,20071228,000000,4.7508,4.8313,4.5897,4.7238,37180,0
ASB,D,20080102,000000,4.9118,4.9118,4.7238,4.8313,12488,0
ASB,D,20080103,000000,4.7776,4.8313,4.5629,4.5629,10777,0
ASB,D,20080104,000000,4.5629,4.5629,4.5629,4.5629,3481,0
ASB,D,20080107,000000,4.4663,4.4663,4.128,4.2944,8853,0
ASB,D,20080108,000000,4.1333,4.1387,4.1333,4.1387,3126,0
ASB,D,20080109,000000,3.9187,4.0798,3.8114,4.0798,11905,0
ASB,D,20080110,000000,3.9187,3.967,3.8114,3.967,4291,0
ASB,D,20080111,000000,3.9187,3.9187,3.7629,3.8918,6227,0
ASB,D,20080114,000000,3.908,3.908,3.543,3.7577,11413,0
ASB,D,20080115,000000,3.7577,4.026,3.7577,3.865,5637,0
ASB,D,20080116,000000,3.6503,3.7577,3.3283,3.6503,15424,0
ASB,D,20080117,000000,3.543,3.9187,3.543,3.5966,70794,0
ASB,D,20080118,000000,3.7577,3.7577,3.6503,3.6611,4282,0
ASB,D,20080121,000000,3.7577,3.7577,3.3067,3.5698,5918,0
ASB,D,20080122,000000,3.677,3.677,3.4893,3.4893,1119,0
ASB,D,20080123,000000,3.6611,3.677,3.4893,3.4893,33809,0
ASB,D,20080124,000000,3.543,3.8381,3.4893,3.8381,3308,0
