<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CDL,D,20141028,000000,12.086,12.244,11.77,12.039,61176,0
CDL,D,20141029,000000,12.045,12.158,12.007,12.148,14354,0
CDL,D,20141030,000000,12.148,12.718,12.148,12.718,22583,0
CDL,D,20141031,000000,12.829,13.271,12.829,13.263,24000,0
CDL,D,20141103,000000,13.326,13.816,13.271,13.422,21358,0
CDL,D,20141104,000000,13.65,13.65,12.971,12.971,9628,0
CDL,D,20141105,000000,12.971,13.231,12.971,13.175,2156,0
CDL,D,20141106,000000,13.153,13.153,12.955,13.153,3149,0
CDL,D,20141107,000000,13.113,13.428,12.733,13.428,15950,0
CDL,D,20141110,000000,13.389,13.769,13.082,13.666,2682,0
CDL,D,20141112,000000,13.579,13.942,13.579,13.942,3775,0
CDL,D,20141113,000000,14.045,14.606,14.045,14.534,3163,0
CDL,D,20141114,000000,14.74,15.009,14.464,14.93,7500,0
CDL,D,20141117,000000,15.087,15.798,15.087,15.404,12469,0
CDL,D,20141118,000000,15.561,15.561,15.247,15.426,2315,0
CDL,D,20141119,000000,15.016,15.111,14.692,15.009,4802,0
CDL,D,20141120,000000,15.009,15.009,14.851,15.009,3665,0
CDL,D,20141121,000000,14.858,15.009,14.858,15.009,3238,0
CDL,D,20141124,000000,15.009,15.324,14.614,15.167,7000,0
CDL,D,20141125,000000,15.001,15.001,14.614,14.851,2145,0
CDL,D,20141126,000000,15.001,15.009,14.851,14.851,2926,0
CDL,D,20141127,000000,15.404,15.404,15.167,15.317,291,0
CDL,D,20141128,000000,15.167,15.404,15.158,15.158,87,0
CDL,D,20141201,000000,15.009,15.009,15.009,15.009,633,0
CDL,D,20141202,000000,15.009,15.087,15.009,15.087,284,0
CDL,D,20141203,000000,14.614,15.009,14.534,14.993,2263,0
CDL,D,20141204,000000,15.001,15.001,14.851,14.851,678,0
CDL,D,20141205,000000,14.851,14.93,13.705,14.1,5456,0
CDL,D,20141208,000000,14.14,14.614,14.14,14.455,1178,0
CDL,D,20141209,000000,14.496,14.692,14.219,14.692,975,0
CDL,D,20141210,000000,14.692,14.692,14.219,14.534,1637,0
CDL,D,20141211,000000,14.534,14.534,13.823,14.265,2900,0
CDL,D,20141212,000000,14.219,14.219,13.823,14.196,1898,0
CDL,D,20141215,000000,14.368,14.368,14.368,14.368,5,0
CDL,D,20141216,000000,13.982,13.982,13.594,13.982,5443,0
CDL,D,20141217,000000,13.974,13.974,12.978,13.823,6268,0
CDL,D,20141218,000000,13.934,13.934,13.033,13.033,2108,0
CDL,D,20141219,000000,13.049,14.526,13.049,14.526,4352,0
CDL,D,20141222,000000,14.448,14.448,13.823,14.368,344,0
CDL,D,20141223,000000,14.329,14.329,13.823,14.203,297,0
CDL,D,20141229,000000,14.203,14.203,13.823,14.061,145,0
CDL,D,20141230,000000,14.053,14.053,14.053,14.053,26,0
CDL,D,20150102,000000,14.219,14.219,14.219,14.219,37,0
CDL,D,20150105,000000,14.211,14.448,13.823,14.13,221,0
CDL,D,20150107,000000,14.219,14.219,14.219,14.219,5,0
CDL,D,20150108,000000,14.203,14.416,14.14,14.219,1442,0
CDL,D,20150109,000000,14.219,14.448,13.745,13.745,2001,0
CDL,D,20150112,000000,13.745,14.061,13.705,14.061,2099,0
CDL,D,20150113,000000,14.211,14.219,14.14,14.211,463,0
CDL,D,20150114,000000,14.093,14.093,13.823,13.823,61,0
CDL,D,20150115,000000,13.468,14.1,13.033,13.934,1755,0
CDL,D,20150116,000000,13.934,14.053,13.934,14.053,197,0
CDL,D,20150119,000000,14.14,14.14,14.1,14.1,83,0
CDL,D,20150120,000000,14.045,14.061,14.045,14.061,11,0
CDL,D,20150121,000000,13.974,13.974,13.587,13.942,8908,0
CDL,D,20150122,000000,13.903,13.903,13.428,13.428,305,0
CDL,D,20150123,000000,13.428,13.428,12.758,12.875,11028,0
CDL,D,20150126,000000,13.153,13.153,12.481,12.861,13293,0
CDL,D,20150127,000000,12.995,12.995,12.796,12.796,164,0
CDL,D,20150128,000000,12.916,13.033,12.758,13.018,3962,0
CDL,D,20150129,000000,12.916,13.033,12.916,13.033,437,0
CDL,D,20150130,000000,13.072,13.271,12.875,13.113,4276,0
CDL,D,20150202,000000,13.255,13.255,12.44,13.072,1163,0
CDL,D,20150203,000000,13.088,13.088,12.638,12.962,475,0
CDL,D,20150204,000000,13.002,13.002,12.582,12.582,1575,0
