<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DADA,D,20201229,000000,18,19.49,16.562,19.2,828136,0
DADA,D,20201230,000000,19.398,19.398,18.2,19.3,214560,0
DADA,D,20210104,000000,19.35,19.35,18.56,18.72,49681,0
DADA,D,20210105,000000,18.78,18.8,18.51,18.62,27856,0
DADA,D,20210107,000000,18.3,18.84,18.3,18.74,41269,0
DADA,D,20210108,000000,18.74,18.9,18.51,18.8,47256,0
DADA,D,20210111,000000,18.86,18.86,18.598,18.838,20650,0
DADA,D,20210112,000000,18.61,18.8,18.59,18.7,13280,0
DADA,D,20210113,000000,18.7,19.298,18.5,19.298,77988,0
DADA,D,20210114,000000,19.298,19.298,18.522,19,17815,0
DADA,D,20210115,000000,19.1,19.2,18.702,18.8,110970,0
DADA,D,20210118,000000,18.8,18.9,18.572,18.646,7901,0
DADA,D,20210119,000000,18.606,19.2,18.606,18.8,9842,0
DADA,D,20210120,000000,18.8,18.8,18.61,18.66,4817,0
DADA,D,20210121,000000,18.62,19.14,18.612,19.01,17672,0
DADA,D,20210122,000000,18.622,19.05,18.62,18.8,2458,0
DADA,D,20210125,000000,18.88,19.044,18.7,18.7,2347,0
DADA,D,20210126,000000,18.7,18.888,18.624,18.7,2759,0
DADA,D,20210127,000000,18.88,18.88,18.5,18.542,12759,0
DADA,D,20210128,000000,18.5,19.1,18.11,19.1,20323,0
DADA,D,20210129,000000,18.7,19.14,18.5,19.08,10623,0
DADA,D,20210201,000000,19.1,19.1,18.552,18.62,6284,0
DADA,D,20210202,000000,18.98,18.98,18.55,18.59,4078,0
DADA,D,20210203,000000,18.59,18.62,18.5,18.55,3214,0
DADA,D,20210204,000000,18.52,18.9,18.52,18.6,1108,0
DADA,D,20210205,000000,18.894,18.894,18.5,18.55,3113,0
