<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IFC,D,20080228,000000,0.9514,1.0286,0.8143,0.8186,2001482,0
IFC,D,20080229,000000,0.8186,0.8357,0.6643,0.78,283528,0
IFC,D,20080303,000000,0.7629,0.7714,0.6986,0.7714,113806,0
IFC,D,20080304,000000,0.78,0.8357,0.7414,0.7886,47936,0
IFC,D,20080305,000000,0.8271,0.8271,0.7543,0.7714,20860,0
IFC,D,20080306,000000,0.78,0.78,0.75,0.75,7042,0
IFC,D,20080307,000000,0.7629,0.7629,0.7114,0.7586,9142,0
IFC,D,20080310,000000,0.72,0.7243,0.6986,0.7029,52948,0
IFC,D,20080311,000000,0.6771,0.7543,0.6514,0.7543,107268,0
IFC,D,20080312,000000,0.7414,0.7929,0.7329,0.7714,114268,0
IFC,D,20080313,000000,0.7457,0.7671,0.7071,0.7671,105210,0
IFC,D,20080314,000000,0.7586,0.7586,0.7286,0.7543,3430,0
IFC,D,20080317,000000,0.7543,0.7543,0.7071,0.72,9506,0
IFC,D,20080318,000000,0.69,0.7329,0.69,0.7029,9128,0
IFC,D,20080319,000000,0.6943,0.7286,0.6857,0.7286,32928,0
IFC,D,20080320,000000,0.7286,0.7457,0.7286,0.7414,7126,0
IFC,D,20080325,000000,0.75,0.7886,0.7114,0.7586,16128,0
IFC,D,20080326,000000,0.7586,0.7586,0.7586,0.7586,28,0
IFC,D,20080327,000000,0.7114,0.7414,0.6857,0.6857,120064,0
IFC,D,20080328,000000,0.6857,0.7071,0.6857,0.69,24654,0
IFC,D,20080331,000000,0.6986,0.6986,0.6429,0.6729,81816,0
IFC,D,20080401,000000,0.6557,0.6729,0.6429,0.6429,41804,0
IFC,D,20080402,000000,0.6686,0.6686,0.6429,0.6557,26250,0
IFC,D,20080403,000000,0.6643,0.6729,0.66,0.6729,12754,0
IFC,D,20080404,000000,0.6643,0.6729,0.6643,0.6729,1960,0
IFC,D,20080407,000000,0.66,0.6686,0.6557,0.6557,9016,0
IFC,D,20080408,000000,0.6686,0.6686,0.6257,0.6257,2828,0
IFC,D,20080409,000000,0.6557,0.6557,0.6043,0.6043,15162,0
IFC,D,20080410,000000,0.5871,0.6086,0.5786,0.6086,15582,0
IFC,D,20080411,000000,0.5871,0.5957,0.5786,0.5957,7658,0
IFC,D,20080414,000000,0.6,0.6,0.6,0.6,5838,0
IFC,D,20080415,000000,0.5529,0.7286,0.5529,0.7286,37198,0
IFC,D,20080416,000000,0.6129,0.6771,0.6129,0.6771,798,0
IFC,D,20080417,000000,0.63,0.6643,0.6129,0.6643,17374,0
IFC,D,20080418,000000,0.6471,0.6729,0.6257,0.6257,9646,0
IFC,D,20080421,000000,0.6257,0.6557,0.6043,0.6043,9884,0
IFC,D,20080422,000000,0.66,0.66,0.57,0.6214,10626,0
IFC,D,20080423,000000,0.5957,0.5957,0.5957,0.5957,14,0
IFC,D,20080424,000000,0.6214,0.6214,0.5743,0.5743,1904,0
IFC,D,20080425,000000,0.6129,0.6129,0.5743,0.6,5670,0
IFC,D,20080428,000000,0.5743,0.5957,0.5743,0.5743,4718,0
IFC,D,20080429,000000,0.5743,0.5957,0.5743,0.5957,84,0
IFC,D,20080430,000000,0.5914,0.5914,0.5357,0.5914,2884,0
IFC,D,20080505,000000,0.6,0.6,0.5571,0.5914,5376,0
IFC,D,20080506,000000,0.5786,0.6086,0.5271,0.6043,17948,0
IFC,D,20080507,000000,0.5443,0.5786,0.5443,0.5743,27608,0
IFC,D,20080508,000000,0.5614,0.5829,0.54,0.54,1932,0
IFC,D,20080509,000000,0.5443,0.5829,0.54,0.5829,4158,0
IFC,D,20080512,000000,0.54,0.5743,0.5314,0.54,9436,0
IFC,D,20080513,000000,0.5657,0.5914,0.5143,0.5529,66710,0
IFC,D,20080514,000000,0.5229,0.5571,0.46286,0.5229,11802,0
IFC,D,20080515,000000,0.5143,0.5486,0.48429,0.51,14798,0
IFC,D,20080516,000000,0.51,0.5357,0.47571,0.5357,58870,0
IFC,D,20080519,000000,0.48857,0.5314,0.47571,0.5014,12516,0
IFC,D,20080520,000000,0.5271,0.5271,0.49286,0.5143,2940,0
IFC,D,20080521,000000,0.48857,0.48857,0.48,0.48857,4606,0
IFC,D,20080526,000000,0.47143,0.47143,0.43286,0.43286,2030,0
IFC,D,20080527,000000,0.5057,0.5057,0.43286,0.49286,154,0
IFC,D,20080528,000000,0.5014,0.5014,0.45,0.45857,6720,0
IFC,D,20080529,000000,0.48429,0.5357,0.48,0.5143,39326,0
IFC,D,20080530,000000,0.5357,0.5486,0.5014,0.5486,14602,0
IFC,D,20080602,000000,0.5614,0.5614,0.5014,0.54,7896,0
IFC,D,20080603,000000,0.5014,0.5057,0.47571,0.5014,9520,0
IFC,D,20080605,000000,0.47143,0.5014,0.46286,0.48429,14910,0
IFC,D,20080606,000000,0.47143,0.48429,0.45857,0.45857,8512,0
IFC,D,20080609,000000,0.45857,0.49286,0.45857,0.49286,8064,0
IFC,D,20080610,000000,0.47571,0.47571,0.47571,0.47571,2870,0
IFC,D,20080611,000000,0.46286,0.47571,0.43714,0.47571,14896,0
IFC,D,20080612,000000,0.48429,0.48429,0.48429,0.48429,462,0
IFC,D,20080616,000000,0.48429,0.48429,0.48429,0.48429,1862,0
IFC,D,20080617,000000,0.48429,0.48857,0.48429,0.48857,1540,0
IFC,D,20080619,000000,0.47143,0.47143,0.47143,0.47143,1862,0
IFC,D,20080620,000000,0.43286,0.48857,0.43286,0.48857,938,0
IFC,D,20080623,000000,0.48857,0.48857,0.48857,0.48857,210,0
IFC,D,20080624,000000,0.48857,0.48857,0.48857,0.48857,28,0
IFC,D,20080626,000000,0.44143,0.48,0.44143,0.44143,5600,0
IFC,D,20080627,000000,0.44571,0.47571,0.43286,0.47571,14700,0
IFC,D,20080630,000000,0.47571,0.47571,0.44143,0.44143,15134,0
IFC,D,20080701,000000,0.40714,0.41143,0.40714,0.40714,11200,0
IFC,D,20080702,000000,0.36857,0.36857,0.36429,0.36429,280,0
IFC,D,20080703,000000,0.36429,0.39857,0.36429,0.39857,25648,0
IFC,D,20080704,000000,0.42857,0.42857,0.34286,0.40714,7238,0
IFC,D,20080707,000000,0.34714,0.38143,0.34714,0.38143,4410,0
IFC,D,20080708,000000,0.38143,0.38143,0.38143,0.38143,0,0
IFC,D,20080709,000000,0.34714,0.39,0.34714,0.39,27734,0
IFC,D,20080711,000000,0.39,0.42429,0.39,0.42429,7000,0
IFC,D,20080714,000000,0.36857,0.41143,0.36857,0.41143,4662,0
IFC,D,20080716,000000,0.41143,0.41143,0.41143,0.41143,420,0
IFC,D,20080717,000000,0.37286,0.42429,0.37286,0.42,24388,0
IFC,D,20080718,000000,0.38571,0.42429,0.38143,0.42429,64512,0
IFC,D,20080721,000000,0.43286,0.43286,0.42429,0.42429,5712,0
IFC,D,20080722,000000,0.43286,0.43286,0.42429,0.42429,6804,0
IFC,D,20080723,000000,0.42429,0.45429,0.42429,0.45,3654,0
IFC,D,20080724,000000,0.46286,0.46286,0.41571,0.45857,518,0
IFC,D,20080728,000000,0.43714,0.43714,0.43714,0.43714,1400,0
IFC,D,20080729,000000,0.41571,0.41571,0.40286,0.40286,2100,0
IFC,D,20080730,000000,0.39,0.45,0.39,0.45,10024,0
IFC,D,20080731,000000,0.45,0.45,0.39857,0.39857,238,0
IFC,D,20080801,000000,0.40714,0.44571,0.40714,0.44571,2702,0
IFC,D,20080805,000000,0.40714,0.45857,0.40714,0.45429,4872,0
IFC,D,20080806,000000,0.45429,0.45857,0.42857,0.45857,5768,0
IFC,D,20080807,000000,0.42,0.45857,0.42,0.45857,2562,0
IFC,D,20080808,000000,0.41571,0.45857,0.41143,0.44571,43176,0
IFC,D,20080811,000000,0.44571,0.44571,0.42429,0.42857,18410,0
IFC,D,20080812,000000,0.45857,0.45857,0.45857,0.45857,266,0
IFC,D,20080813,000000,0.45857,0.46286,0.43286,0.46286,10486,0
IFC,D,20080814,000000,0.46286,0.5014,0.44143,0.47571,14280,0
IFC,D,20080818,000000,0.47571,0.47571,0.45,0.46714,2800,0
IFC,D,20080819,000000,0.42429,0.47143,0.42429,0.43714,21882,0
IFC,D,20080821,000000,0.45,0.45,0.45,0.45,2492,0
IFC,D,20080822,000000,0.44143,0.46714,0.42429,0.45857,2576,0
IFC,D,20080825,000000,0.45857,0.45857,0.45857,0.45857,4662,0
IFC,D,20080826,000000,0.42429,0.42429,0.42429,0.42429,2338,0
IFC,D,20080827,000000,0.43286,0.43286,0.43286,0.43286,1400,0
IFC,D,20080828,000000,0.43286,0.47571,0.43286,0.47571,2478,0
IFC,D,20080829,000000,0.43286,0.46714,0.43286,0.46714,8904,0
IFC,D,20080902,000000,0.43286,0.47143,0.43286,0.47143,8190,0
IFC,D,20080904,000000,0.44571,0.46286,0.42857,0.46286,9100,0
IFC,D,20080910,000000,0.45429,0.45429,0.42429,0.45,4452,0
IFC,D,20080911,000000,0.45,0.45,0.45,0.45,812,0
IFC,D,20080915,000000,0.42857,0.44571,0.42429,0.44571,11438,0
IFC,D,20080916,000000,0.40714,0.44571,0.40714,0.44571,532,0
IFC,D,20080917,000000,0.42,0.44571,0.41571,0.44571,2814,0
IFC,D,20080918,000000,0.44571,0.44571,0.44571,0.44571,1512,0
IFC,D,20080919,000000,0.45,0.45,0.40714,0.42857,2786,0
IFC,D,20080926,000000,0.42429,0.45,0.40286,0.45,20188,0
IFC,D,20080929,000000,0.40714,0.44143,0.40714,0.44143,28,0
IFC,D,20080930,000000,0.42857,0.42857,0.42857,0.42857,3500,0
IFC,D,20081001,000000,0.39429,0.42857,0.39429,0.42857,3794,0
IFC,D,20081002,000000,0.43714,0.43714,0.43714,0.43714,1162,0
IFC,D,20081003,000000,0.39429,0.43714,0.39429,0.43714,280,0
IFC,D,20081008,000000,0.36857,0.38571,0.36857,0.38571,1764,0
IFC,D,20081009,000000,0.39,0.40714,0.39,0.40714,1274,0
IFC,D,20081013,000000,0.42,0.42,0.40714,0.40714,112,0
IFC,D,20081014,000000,0.37714,0.40286,0.37714,0.40286,3262,0
