<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IFI,D,20080320,000000,3.1311,3.2737,3.0565,3.0565,201853,0
IFI,D,20080325,000000,2.9275,3.0905,2.6964,2.7169,46222,0
IFI,D,20080326,000000,2.7032,2.7848,2.513,2.5539,100973,0
IFI,D,20080327,000000,2.6964,2.6964,2.5605,2.6148,11245,0
IFI,D,20080328,000000,2.6423,2.6423,2.513,2.6082,11508,0
IFI,D,20080331,000000,2.513,2.6354,2.4113,2.6286,24406,0
IFI,D,20080401,000000,2.6354,2.6763,2.513,2.5674,6835,0
IFI,D,20080402,000000,2.5809,2.5879,2.4589,2.5268,10198,0
IFI,D,20080403,000000,2.4861,2.4861,2.3094,2.3161,24787,0
IFI,D,20080404,000000,2.3299,2.3299,2.1395,2.2346,41295,0
IFI,D,20080407,000000,2.2074,2.2212,2.1395,2.2074,21666,0
IFI,D,20080408,000000,2.1328,2.5742,2.1056,2.5742,87504,0
IFI,D,20080409,000000,2.5674,2.8391,2.5065,2.8391,95674,0
IFI,D,20080410,000000,2.8527,2.8866,2.7577,2.7984,11446,0
IFI,D,20080411,000000,2.8527,3.2535,2.8527,3.2127,119912,0
IFI,D,20080414,000000,2.9207,3.1041,2.9207,3.0498,5756,0
IFI,D,20080415,000000,3.0565,3.07,2.8599,2.8664,1135,0
IFI,D,20080416,000000,3.0498,3.1583,2.8664,3.0905,62865,0
IFI,D,20080417,000000,3.0565,3.0565,2.8664,2.8732,4833,0
IFI,D,20080418,000000,2.8527,2.8732,2.6896,2.8732,15048,0
IFI,D,20080421,000000,2.9073,2.9747,2.9073,2.9747,3596,0
IFI,D,20080422,000000,2.9073,3.0224,2.9073,3.0224,1855,0
IFI,D,20080423,000000,3.043,3.043,3.043,3.043,18,0
IFI,D,20080424,000000,2.8527,3.0224,2.8527,3.0224,742,0
IFI,D,20080425,000000,2.8599,2.9343,2.8599,2.9343,713,0
IFI,D,20080428,000000,2.9547,2.9547,2.7374,2.8935,3001,0
IFI,D,20080429,000000,2.8935,2.8935,2.7169,2.7169,20297,0
IFI,D,20080430,000000,2.8458,2.9818,2.8458,2.9818,25718,0
IFI,D,20080505,000000,2.9818,3.0224,2.8527,2.9818,17065,0
IFI,D,20080506,000000,3.3146,3.3146,2.9547,3.1247,1690,0
IFI,D,20080507,000000,3.1789,3.1789,3.1789,3.1789,1,0
IFI,D,20080508,000000,2.8866,2.914,2.7848,2.7984,10343,0
IFI,D,20080509,000000,2.7984,2.8935,2.7848,2.8935,2563,0
IFI,D,20080512,000000,2.8935,3.0159,2.8935,3.0159,102,0
IFI,D,20080513,000000,2.7169,2.9343,2.7099,2.9343,1874,0
IFI,D,20080515,000000,2.6491,2.8527,2.6491,2.8527,12082,0
IFI,D,20080516,000000,2.5879,2.683,2.513,2.513,18904,0
