<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
KER,D,20071123,000000,20.657,21.046,20.461,20.657,404480,0
KER,D,20071126,000000,21.52,21.52,20.657,20.728,251064,0
KER,D,20071127,000000,20.657,20.677,20.657,20.677,131103,0
KER,D,20071128,000000,20.745,21.003,20.667,20.745,38006,0
KER,D,20071129,000000,20.657,20.745,20.657,20.745,1176,0
KER,D,20071130,000000,20.745,20.745,20.736,20.736,1281,0
KER,D,20071203,000000,20.677,20.685,20.677,20.685,3599,0
KER,D,20071204,000000,20.685,20.701,20.685,20.685,1844,0
KER,D,20071205,000000,20.667,21.52,20.667,21.52,318747,0
KER,D,20071206,000000,20.796,20.796,20.789,20.789,800,0
KER,D,20071207,000000,21.089,21.864,21.089,21.52,13994,0
KER,D,20071210,000000,21.52,21.52,21.476,21.52,2118,0
KER,D,20071211,000000,21.52,23.759,21.468,23.672,271985,0
KER,D,20071212,000000,22.38,24.963,22.38,24.963,50202,0
KER,D,20071213,000000,24.36,26.684,23.68,25.833,17781,0
KER,D,20071214,000000,25.781,26.238,25.394,25.833,4449,0
KER,D,20071217,000000,25.824,26.168,25.824,26.168,29415,0
KER,D,20071218,000000,26.168,28.406,24.963,25.824,31085,0
KER,D,20071219,000000,25.824,26.684,25.824,26.684,201387,0
KER,D,20071220,000000,26.684,29.164,25.824,29.164,80347,0
KER,D,20071221,000000,30.989,30.989,28.406,29.155,249491,0
KER,D,20071227,000000,29.268,30.902,28.836,29.268,241410,0
KER,D,20071228,000000,29.198,29.268,28.836,29.268,7718,0
KER,D,20080102,000000,33.571,33.571,27.288,30.128,123020,0
KER,D,20080103,000000,30.086,30.086,28.406,29.179,166228,0
KER,D,20080104,000000,28.406,28.836,27.304,27.304,314787,0
KER,D,20080107,000000,25.995,28.406,25.995,26.684,36525,0
KER,D,20080108,000000,27.115,28.406,26.684,28.148,437412,0
KER,D,20080109,000000,28.148,28.148,26.598,27.545,160768,0
KER,D,20080110,000000,26.218,26.598,26.218,26.598,16706,0
KER,D,20080111,000000,26.253,27.545,26.083,27.545,4539,0
KER,D,20080114,000000,26.84,27.545,25.875,27.545,6147,0
KER,D,20080115,000000,28.062,28.148,27.46,27.46,570263,0
KER,D,20080116,000000,27.288,27.288,26.427,26.427,47767,0
KER,D,20080117,000000,27.89,27.89,26.512,26.684,127649,0
KER,D,20080118,000000,27.115,27.115,27.115,27.115,4873,0
KER,D,20080121,000000,26.512,27.115,24.963,25.694,84595,0
KER,D,20080122,000000,24.963,25.694,24.963,25.643,59972,0
KER,D,20080123,000000,25.694,26.583,24.963,26.253,35027,0
KER,D,20080124,000000,27.115,27.115,25.824,26.253,12439,0
KER,D,20080125,000000,26.083,26.253,26.083,26.253,183132,0
KER,D,20080128,000000,26.253,26.583,26.21,26.583,59522,0
KER,D,20080129,000000,26.684,26.684,26.253,26.253,444754,0
KER,D,20080130,000000,26.253,26.253,26.253,26.253,1284,0
KER,D,20080131,000000,26.047,27.975,26.038,26.253,139332,0
KER,D,20080201,000000,26.684,26.684,26.253,26.262,154276,0
KER,D,20080204,000000,27.536,27.545,26.253,26.253,53564,0
KER,D,20080205,000000,26.262,26.262,26.262,26.262,4166,0
KER,D,20080206,000000,26.253,26.684,26.253,26.684,1266,0
KER,D,20080207,000000,26.684,26.684,26.684,26.684,471421,0
KER,D,20080208,000000,27.029,27.115,26.598,27.115,22795,0
KER,D,20080211,000000,27.115,27.951,26.684,27.115,26005,0
KER,D,20080212,000000,27.115,27.201,27.115,27.201,1212,0
KER,D,20080213,000000,27.951,27.975,26.701,27.975,3690,0
KER,D,20080214,000000,27.966,27.975,27.545,27.975,80130,0
KER,D,20080215,000000,27.966,28.406,27.958,28.406,16626,0
KER,D,20080218,000000,27.545,28.406,27.545,28.406,353876,0
KER,D,20080219,000000,28.406,28.406,27.545,27.545,12782,0
KER,D,20080220,000000,27.545,28.406,27.545,28.406,18506,0
KER,D,20080221,000000,29.268,30.128,29.268,30.128,2397,0
KER,D,20080222,000000,30.128,31.16,30.128,30.558,4739,0
KER,D,20080225,000000,30.299,32.065,30.128,31.847,93469,0
KER,D,20080226,000000,31.847,35.033,31.212,34.518,110262,0
KER,D,20080227,000000,34.431,34.431,32.718,32.718,26890,0
KER,D,20080228,000000,33.141,33.183,32.84,33.097,64383,0
KER,D,20080229,000000,32.925,32.925,32.874,32.874,20549,0
KER,D,20080303,000000,32.71,32.71,30.989,32.71,316027,0
KER,D,20080304,000000,33.571,33.571,32.28,32.582,213311,0
KER,D,20080305,000000,31.419,31.419,30.696,31.41,13609,0
KER,D,20080306,000000,30.877,33.131,30.645,33.055,14066,0
KER,D,20080307,000000,30.989,32.28,30.989,31.847,6394082,0
KER,D,20080310,000000,31.505,31.847,31.117,31.763,162519,0
KER,D,20080311,000000,31.419,31.847,30.995,31.847,55580,0
KER,D,20080312,000000,31.847,34.165,31.847,32.538,156063,0
KER,D,20080313,000000,32.538,33.484,31.867,33.484,34906,0
KER,D,20080314,000000,33.571,34.775,32.71,32.71,290554,0
KER,D,20080317,000000,32.331,32.331,30.686,30.989,166656,0
KER,D,20080318,000000,31.677,31.677,31.005,31.005,27019,0
KER,D,20080319,000000,30.989,32.107,30.558,31.847,757323,0
KER,D,20080320,000000,31.246,31.246,30.558,30.558,518756,0
KER,D,20080325,000000,30.558,31.847,29.352,31.419,74382,0
KER,D,20080326,000000,30.989,31.847,30.989,31.419,62516,0
KER,D,20080327,000000,31.091,32.253,31.091,31.847,256124,0
KER,D,20080328,000000,31.763,31.763,31.16,31.419,338451,0
KER,D,20080331,000000,31.038,31.038,30.902,30.902,70378,0
KER,D,20080401,000000,30.48,30.558,30.128,30.145,236103,0
KER,D,20080402,000000,30.145,30.145,29.276,29.912,561426,0
KER,D,20080403,000000,29.698,30.128,29.698,30.128,20844,0
KER,D,20080404,000000,29.698,30.128,29.698,29.698,177957,0
KER,D,20080407,000000,29.362,29.37,29.362,29.362,4201,0
KER,D,20080408,000000,29.362,29.438,29.179,29.268,65900,0
KER,D,20080409,000000,29.268,29.268,29.095,29.268,106617,0
KER,D,20080410,000000,29.095,29.095,28.845,28.914,7954,0
KER,D,20080411,000000,29.008,29.008,27.571,27.571,28665,0
KER,D,20080414,000000,27.622,27.622,27.133,27.46,46960,0
KER,D,20080415,000000,27.115,27.123,27.115,27.115,2222,0
KER,D,20080416,000000,27.115,28.389,27.115,27.975,16811,0
KER,D,20080417,000000,27.545,27.545,27.098,27.545,108061,0
KER,D,20080418,000000,27.115,27.545,26.684,27.115,37601,0
KER,D,20080421,000000,26.701,27.003,26.701,27.003,71446,0
KER,D,20080422,000000,26.684,26.684,25.824,25.824,140040,0
KER,D,20080423,000000,25.394,25.394,24.111,24.963,258445,0
KER,D,20080424,000000,24.963,25.824,24.963,25.22,152388,0
KER,D,20080425,000000,26.676,26.943,25.824,26.943,59220,0
KER,D,20080428,000000,26.684,30.816,26.684,30.816,17111,0
KER,D,20080429,000000,31.316,31.781,29.577,31.419,177437,0
KER,D,20080430,000000,30.128,30.945,30.032,30.032,97225,0
KER,D,20080505,000000,30.215,30.215,29.37,29.706,9683,0
KER,D,20080506,000000,29.698,30.98,29.698,30.98,50543,0
KER,D,20080507,000000,30.971,30.98,30.566,30.98,719,0
KER,D,20080508,000000,30.731,30.989,30.386,30.386,823644,0
KER,D,20080509,000000,30.894,30.894,30.291,30.291,1051,0
KER,D,20080512,000000,30.128,30.128,29.268,29.612,4373,0
KER,D,20080513,000000,29.698,29.698,29.602,29.689,135776,0
KER,D,20080514,000000,29.663,29.782,29.532,29.532,26631,0
KER,D,20080515,000000,29.524,30.858,29.481,30.858,2286,0
KER,D,20080516,000000,31.333,31.549,30.128,30.989,215191,0
KER,D,20080519,000000,31.54,31.54,29.827,31.505,189305,0
KER,D,20080520,000000,31.246,31.246,30.215,30.215,1429,0
KER,D,20080521,000000,29.352,30.816,29.352,30.816,24086,0
KER,D,20080523,000000,29.532,30.128,29.532,30.093,94084,0
KER,D,20080526,000000,29.524,30.11,29.352,30.11,3513,0
KER,D,20080527,000000,30.43,30.43,29.268,29.268,11363,0
KER,D,20080528,000000,28.922,30.696,28.922,30.635,327207,0
KER,D,20080529,000000,30.558,30.98,30.128,30.128,4043,0
KER,D,20080530,000000,29.276,30.558,29.276,30.558,185818,0
KER,D,20080602,000000,30.128,30.558,29.448,29.542,581,0
KER,D,20080603,000000,29.268,29.284,29.258,29.268,56051,0
KER,D,20080604,000000,28.836,28.836,28.062,28.148,1623,0
KER,D,20080605,000000,28.751,30.016,27.975,28.235,197196,0
KER,D,20080606,000000,28.836,29.698,28.836,29.698,6234,0
KER,D,20080609,000000,29.698,29.698,29.268,29.268,3761,0
KER,D,20080610,000000,29.698,29.698,29.268,29.268,299369,0
KER,D,20080611,000000,29.956,30.731,29.869,30.386,163875,0
KER,D,20080612,000000,30.971,30.971,30.128,30.558,74454,0
KER,D,20080613,000000,30.989,31.496,30.128,30.558,34745,0
KER,D,20080616,000000,31.419,31.419,30.989,30.989,3768,0
KER,D,20080617,000000,30.989,32.71,30.989,31.847,133969,0
KER,D,20080618,000000,30.989,31.847,30.989,30.989,2510,0
KER,D,20080619,000000,30.128,30.989,28.664,28.664,7709,0
KER,D,20080620,000000,28.672,30.55,28.672,30.128,29735,0
KER,D,20080623,000000,29.698,30.215,28.664,29.698,115742,0
KER,D,20080624,000000,30.119,30.119,29.276,29.698,53074,0
KER,D,20080625,000000,29.276,30.128,29.276,30.086,34672,0
KER,D,20080626,000000,30.215,30.215,29.018,29.782,9852,0
KER,D,20080627,000000,29.438,30.989,29.438,30.989,18782,0
KER,D,20080630,000000,30.558,32.194,30.515,31.677,2439,0
KER,D,20080701,000000,30.995,31.246,29.886,30.989,31896,0
KER,D,20080702,000000,30.858,30.902,29.802,30.128,35267,0
KER,D,20080703,000000,30.816,30.816,27.717,27.717,89208,0
KER,D,20080704,000000,28.664,28.828,26.53,28.398,40832,0
KER,D,20080707,000000,28.398,28.398,26.684,27.115,13116,0
KER,D,20080708,000000,26.083,27.631,26.083,26.168,71200,0
KER,D,20080709,000000,26.168,26.341,25.824,26.341,9234,0
KER,D,20080710,000000,24.118,26.297,24.118,25.575,53222,0
KER,D,20080711,000000,23.026,26.253,23.026,25.824,39080,0
KER,D,20080714,000000,25.91,27.717,25.91,26.083,26173,0
KER,D,20080715,000000,26.684,26.684,26.125,26.253,83497,0
KER,D,20080716,000000,24.103,26.038,24.103,25.824,22083,0
KER,D,20080717,000000,26.253,26.684,26.253,26.253,12027,0
KER,D,20080718,000000,25.738,25.738,25.479,25.479,34291,0
KER,D,20080721,000000,24.118,25.522,24.118,25.522,88587,0
KER,D,20080722,000000,24.963,25.738,24.963,25.479,77554,0
KER,D,20080723,000000,27.795,27.795,25.599,25.651,85022,0
KER,D,20080724,000000,25.651,25.651,25.394,25.651,84689,0
KER,D,20080725,000000,25.394,25.394,25.22,25.394,63420,0
KER,D,20080728,000000,25.394,25.394,25.316,25.394,140800,0
KER,D,20080729,000000,25.394,25.394,25.178,25.394,286483,0
KER,D,20080730,000000,25.394,25.394,24.118,24.963,147869,0
KER,D,20080731,000000,24.963,24.963,24.963,24.963,10982,0
KER,D,20080801,000000,24.447,25.394,24.447,25.394,65901,0
KER,D,20080804,000000,27.545,27.932,24.963,26.684,2568,0
KER,D,20080805,000000,25.049,25.394,24.963,24.963,2813,0
KER,D,20080806,000000,24.963,25.22,24.963,25.049,347,0
KER,D,20080807,000000,25.049,25.049,25.049,25.049,581,0
KER,D,20080808,000000,24.628,25.91,23.922,24.946,10060,0
KER,D,20080811,000000,24.92,24.963,24.36,24.963,4217,0
KER,D,20080812,000000,24.532,24.963,23.466,24.103,56094,0
KER,D,20080813,000000,24.103,24.532,23.422,23.422,16205,0
KER,D,20080814,000000,23.422,23.672,23.327,23.422,77687,0
KER,D,20080818,000000,22.38,23.24,21.951,23.24,223381,0
KER,D,20080819,000000,23.156,23.156,23.113,23.156,29170,0
KER,D,20080820,000000,22.423,23.113,22.39,22.39,128481,0
KER,D,20080821,000000,22.39,23.138,22.39,23.138,64,0
KER,D,20080822,000000,23.147,26.684,23.147,26.684,14123,0
KER,D,20080825,000000,25.006,25.815,25.006,25.815,70,0
KER,D,20080826,000000,24.532,24.963,24.532,24.963,158949,0
KER,D,20080827,000000,25.006,26.253,24.283,24.283,1703810,0
KER,D,20080828,000000,24.963,24.963,24.955,24.955,21702,0
KER,D,20080829,000000,25.824,25.824,25.22,25.694,12870,0
KER,D,20080901,000000,25.006,25.22,24.963,24.963,1772,0
KER,D,20080902,000000,24.111,24.971,24.111,24.963,24046,0
KER,D,20080903,000000,24.963,24.963,24.963,24.963,3671,0
KER,D,20080904,000000,24.532,24.532,24.275,24.275,253,0
