<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
KRC,D,20080214,000000,8.3195,8.3195,3.5589,3.679,289712,0
KRC,D,20080215,000000,3.605,5.4539,3.4849,4.853,251993,0
KRC,D,20080218,000000,4.853,6.9791,4.853,6.4244,295450,0
KRC,D,20080219,000000,6.5169,7.127,5.6387,5.8699,136575,0
KRC,D,20080220,000000,6.0085,6.4707,5.1765,5.537,60294,0
KRC,D,20080221,000000,5.5462,5.7311,4.9639,5.1118,45095,0
KRC,D,20080222,000000,4.9454,5.0748,4.3631,4.8807,40674,0
KRC,D,20080225,000000,4.8067,5.4539,4.4093,4.6311,91779,0
KRC,D,20080226,000000,4.7144,4.7144,3.9748,4.0673,138129,0
KRC,D,20080227,000000,4.1413,4.5572,4.0858,4.4,78092,0
KRC,D,20080228,000000,4.4371,4.9732,4.1597,4.2984,56871,0
KRC,D,20080229,000000,4.3538,4.7144,4.0858,4.3816,38278,0
KRC,D,20080303,000000,4.1135,4.2337,3.8824,4.2337,14476,0
KRC,D,20080304,000000,4.0303,4.9916,4.0303,4.6219,59780,0
KRC,D,20080305,000000,4.8437,4.8807,4.2337,4.4555,60860,0
KRC,D,20080306,000000,4.3631,4.474,4.2984,4.4,15418,0
KRC,D,20080307,000000,4.4186,4.4186,4.2706,4.3909,3390,0
KRC,D,20080310,000000,4.3076,4.3076,4.0211,4.1597,16102,0
KRC,D,20080311,000000,4.1413,4.1413,3.9008,4.0395,12174,0
KRC,D,20080312,000000,4.1135,4.1135,3.8455,3.9286,18167,0
KRC,D,20080313,000000,3.8455,4.8067,3.8084,4.3076,105921,0
KRC,D,20080314,000000,4.3909,4.6219,4.1135,4.3538,26262,0
KRC,D,20080317,000000,4.0673,4.0673,3.4849,3.679,97605,0
KRC,D,20080318,000000,3.6143,3.8361,3.4942,3.8361,15354,0
KRC,D,20080319,000000,3.9286,3.9286,3.7437,3.7437,153,0
KRC,D,20080320,000000,3.8361,3.8361,3.5589,3.6328,3214,0
KRC,D,20080325,000000,3.79,3.79,3.6236,3.7345,8463,0
KRC,D,20080326,000000,3.6513,3.7715,3.5219,3.5589,18505,0
KRC,D,20080327,000000,3.5866,3.5866,3.5219,3.5589,2799,0
KRC,D,20080328,000000,3.8824,3.8824,3.5404,3.5589,6274,0
KRC,D,20080331,000000,3.5126,3.5866,3.4294,3.5866,4793,0
KRC,D,20080401,000000,3.4757,3.5866,3.4757,3.4849,1174,0
KRC,D,20080402,000000,3.4942,3.5126,3.374,3.5126,4242,0
KRC,D,20080403,000000,3.3278,3.4757,3.1891,3.3925,7686,0
KRC,D,20080404,000000,3.3832,3.3832,3.1429,3.2815,12416,0
KRC,D,20080407,000000,3.2815,3.6328,3.2815,3.5404,9448,0
KRC,D,20080408,000000,3.5126,3.5126,3.3647,3.4202,6024,0
KRC,D,20080409,000000,3.2815,3.3186,3.1613,3.1613,11175,0
KRC,D,20080410,000000,3.2446,3.5034,3.1613,3.5034,15326,0
KRC,D,20080411,000000,3.5219,3.6513,3.4202,3.5126,12727,0
KRC,D,20080414,000000,3.3832,3.4202,3.337,3.337,2664,0
KRC,D,20080415,000000,3.337,3.4665,3.337,3.337,7772,0
KRC,D,20080416,000000,3.4202,3.4202,3.2815,3.411,1857,0
KRC,D,20080417,000000,3.4387,3.4387,3.2815,3.2815,326,0
KRC,D,20080418,000000,3.2815,3.4018,3.2539,3.3925,3575,0
KRC,D,20080421,000000,3.1984,3.411,3.1984,3.411,1720,0
KRC,D,20080422,000000,3.4018,3.4018,3.0042,3.2353,5134,0
KRC,D,20080423,000000,3.0505,3.2076,2.8009,3.1891,4610,0
KRC,D,20080424,000000,2.9118,3.1799,2.9118,3.1429,2408,0
KRC,D,20080425,000000,3.1429,3.3832,3.1429,3.3278,3271,0
KRC,D,20080428,000000,3.3278,3.3278,2.7731,3.2261,9798,0
KRC,D,20080429,000000,3.2353,3.2353,3.0042,3.2261,654,0
KRC,D,20080430,000000,3.2168,3.4571,3.0505,3.1891,7418,0
KRC,D,20080505,000000,3.374,3.411,3.1891,3.2353,6736,0
KRC,D,20080506,000000,3.2076,3.5589,3.2076,3.5311,15922,0
KRC,D,20080507,000000,3.5404,3.8824,3.411,3.8824,43244,0
KRC,D,20080508,000000,3.6328,4.0951,3.6328,3.7437,16170,0
KRC,D,20080509,000000,3.7807,3.8639,3.6976,3.8269,2625,0
KRC,D,20080512,000000,3.7993,3.7993,3.5126,3.7715,22649,0
KRC,D,20080513,000000,3.5311,3.6976,3.374,3.6976,12687,0
KRC,D,20080514,000000,3.5589,3.6513,3.5589,3.5589,1260,0
KRC,D,20080515,000000,3.4571,3.5958,3.3832,3.5958,16126,0
KRC,D,20080516,000000,3.3925,3.6976,3.3925,3.6976,14015,0
KRC,D,20080519,000000,3.5126,3.5589,3.5126,3.5589,1298,0
KRC,D,20080520,000000,3.6421,3.6513,3.6421,3.6513,378,0
KRC,D,20080521,000000,3.4202,3.605,3.374,3.605,2273,0
KRC,D,20080523,000000,3.5773,3.6328,3.5773,3.6328,1877,0
KRC,D,20080526,000000,3.6421,3.7807,3.5126,3.6882,8877,0
KRC,D,20080527,000000,3.6882,3.6882,3.4665,3.605,3503,0
KRC,D,20080528,000000,3.6513,3.6882,3.4202,3.6513,9210,0
KRC,D,20080529,000000,3.4665,3.6421,3.4202,3.4294,3067,0
KRC,D,20080530,000000,3.5126,3.605,3.4202,3.5773,8275,0
KRC,D,20080602,000000,3.5681,3.6976,3.5589,3.6513,6199,0
KRC,D,20080603,000000,3.6513,3.6513,3.5126,3.5126,701,0
KRC,D,20080604,000000,3.5126,3.605,3.5126,3.605,617,0
KRC,D,20080605,000000,3.4665,3.6328,3.4202,3.6328,649,0
KRC,D,20080606,000000,3.6421,3.6605,3.5126,3.6605,6025,0
KRC,D,20080609,000000,3.6605,3.6605,3.4202,3.5958,997,0
KRC,D,20080610,000000,3.4202,3.5589,3.374,3.5404,3670,0
KRC,D,20080611,000000,3.5589,3.6143,3.5589,3.605,3337,0
KRC,D,20080612,000000,3.605,3.605,3.5958,3.5958,809,0
KRC,D,20080613,000000,3.5958,3.605,3.5958,3.605,281,0
KRC,D,20080616,000000,3.605,3.6143,3.605,3.6143,335,0
KRC,D,20080617,000000,3.605,3.605,3.605,3.605,621,0
KRC,D,20080618,000000,3.4849,3.5773,3.374,3.5773,2921,0
KRC,D,20080619,000000,3.5126,3.5126,3.374,3.5126,2826,0
KRC,D,20080620,000000,3.5034,3.5034,3.5034,3.5034,1,0
KRC,D,20080623,000000,3.4942,3.4942,3.3278,3.374,3873,0
KRC,D,20080624,000000,3.4665,3.4665,3.2815,3.2815,1634,0
KRC,D,20080625,000000,3.2353,3.2353,3.1429,3.1429,2812,0
KRC,D,20080626,000000,3.1891,3.3925,3.0505,3.0597,4940,0
KRC,D,20080627,000000,3.2631,3.2631,3.2631,3.2631,1,0
KRC,D,20080630,000000,3.2353,3.2353,3.2353,3.2353,1,0
KRC,D,20080701,000000,3.0505,3.2353,2.958,3.2353,3399,0
KRC,D,20080702,000000,2.9857,2.9857,2.958,2.958,6426,0
KRC,D,20080703,000000,2.8655,2.8749,2.8194,2.8194,1191,0
KRC,D,20080704,000000,2.8194,3.1244,2.7731,2.7824,5680,0
KRC,D,20080707,000000,2.6899,2.727,2.6807,2.727,2852,0
KRC,D,20080708,000000,2.6068,2.7731,2.6068,2.7731,14387,0
KRC,D,20080709,000000,2.9118,3.0967,2.9118,3.0967,1579,0
KRC,D,20080710,000000,3.1429,3.2261,3.0967,3.0967,3040,0
KRC,D,20080711,000000,3.0505,3.0505,3.0505,3.0505,541,0
KRC,D,20080714,000000,2.8655,2.9118,2.8655,2.9118,1136,0
KRC,D,20080715,000000,2.6807,2.9118,2.6807,2.9118,272,0
KRC,D,20080716,000000,2.6992,2.6992,2.6992,2.6992,1,0
KRC,D,20080717,000000,2.727,2.9118,2.727,2.9118,866,0
KRC,D,20080718,000000,2.958,2.958,2.9118,2.958,1814,0
KRC,D,20080721,000000,2.8194,3.032,2.8194,3.032,406,0
KRC,D,20080722,000000,2.7824,2.7824,2.7824,2.7824,1081,0
KRC,D,20080723,000000,3.0228,3.0228,3.0228,3.0228,449,0
KRC,D,20080724,000000,3.0042,3.0042,3.0042,3.0042,5,0
KRC,D,20080725,000000,3.0228,3.0228,2.6899,2.995,2747,0
KRC,D,20080728,000000,2.7824,2.7824,2.7824,2.7824,216,0
