<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LVC,D,20140411,000000,14.953,14.953,14.068,14.341,176449,0
LVC,D,20140414,000000,14.256,14.256,13.837,13.952,47784,0
LVC,D,20140415,000000,13.952,14.084,13.875,13.944,4271,0
LVC,D,20140416,000000,13.944,14.053,13.875,13.875,4202,0
LVC,D,20140417,000000,13.796,14.107,13.796,13.952,4583,0
LVC,D,20140422,000000,14.176,14.412,13.992,14.378,2788,0
LVC,D,20140423,000000,14.341,14.42,14.264,14.378,9054,0
LVC,D,20140424,000000,14.378,14.378,14.371,14.371,1174,0
LVC,D,20140425,000000,14.247,14.341,13.952,14.341,11394,0
LVC,D,20140428,000000,14.378,14.378,13.96,14.333,1055,0
LVC,D,20140429,000000,14.333,14.333,13.952,14.333,1884,0
LVC,D,20140430,000000,14.378,14.378,13.952,14.256,4036,0
LVC,D,20140502,000000,14.325,14.325,13.952,13.952,4629,0
LVC,D,20140505,000000,14.264,14.308,14.031,14.031,891,0
LVC,D,20140506,000000,14.031,14.186,13.952,14.031,1572,0
LVC,D,20140507,000000,13.952,13.96,13.782,13.907,8647,0
LVC,D,20140508,000000,13.907,13.914,13.881,13.881,1983,0
LVC,D,20140509,000000,13.89,13.89,13.719,13.719,930,0
LVC,D,20140512,000000,13.719,13.79,12.96,13.332,74906,0
LVC,D,20140513,000000,13.481,13.481,13.177,13.318,3261,0
LVC,D,20140514,000000,13.193,13.193,13.1,13.193,17963,0
LVC,D,20140515,000000,13.177,13.564,13.177,13.564,392,0
LVC,D,20140516,000000,13.557,13.564,13.177,13.557,2958,0
LVC,D,20140519,000000,13.525,13.525,13.525,13.525,10,0
LVC,D,20140520,000000,13.262,13.294,12.929,13.269,1953,0
LVC,D,20140521,000000,13.262,13.278,12.907,13.216,1003,0
LVC,D,20140522,000000,13.285,13.907,13.177,13.907,4112,0
LVC,D,20140523,000000,13.837,13.944,13.837,13.944,1304,0
LVC,D,20140526,000000,13.944,13.992,13.944,13.992,5,0
LVC,D,20140527,000000,13.952,13.952,13.76,13.935,862,0
LVC,D,20140528,000000,13.944,13.944,13.944,13.944,10,0
LVC,D,20140529,000000,13.796,13.796,13.642,13.719,559,0
LVC,D,20140530,000000,13.642,14.333,13.41,14.333,6512,0
LVC,D,20140602,000000,14.3,14.3,13.796,13.907,1489,0
LVC,D,20140603,000000,13.952,13.952,13.21,13.837,321,0
LVC,D,20140604,000000,13.332,13.837,13.332,13.796,916,0
LVC,D,20140605,000000,13.488,13.679,13.488,13.679,500,0
LVC,D,20140606,000000,13.796,14.146,13.656,13.656,15061,0
LVC,D,20140609,000000,13.907,14.224,13.564,14.224,5210,0
LVC,D,20140610,000000,14.316,14.325,14.186,14.186,3640,0
LVC,D,20140611,000000,14.186,14.186,13.952,14.131,1435,0
LVC,D,20140612,000000,14.131,14.131,14.107,14.124,406,0
LVC,D,20140613,000000,13.952,14.114,13.952,14.114,960,0
LVC,D,20140616,000000,14.107,14.107,13.642,14.06,1244,0
LVC,D,20140617,000000,14.114,14.114,13.811,14.107,2130,0
LVC,D,20140618,000000,14.099,14.146,14.099,14.107,577,0
LVC,D,20140620,000000,14.146,14.146,14.107,14.146,451,0
LVC,D,20140623,000000,14.107,14.107,14.107,14.107,44,0
LVC,D,20140624,000000,14.168,14.168,13.875,14.139,719,0
LVC,D,20140625,000000,14.164,14.164,14.107,14.107,569,0
LVC,D,20140626,000000,13.612,14.099,13.612,14.099,3228,0
LVC,D,20140627,000000,14.107,14.107,14.031,14.031,15,0
LVC,D,20140630,000000,14.092,14.092,13.803,13.952,564,0
LVC,D,20140701,000000,13.952,13.952,13.642,13.642,211,0
LVC,D,20140702,000000,13.837,13.875,13.448,13.875,4695,0
LVC,D,20140703,000000,13.875,13.875,13.875,13.875,10,0
LVC,D,20140704,000000,13.875,13.875,13.875,13.875,10,0
LVC,D,20140707,000000,13.875,13.875,13.869,13.869,1949,0
LVC,D,20140708,000000,13.875,13.875,13.796,13.852,2626,0
LVC,D,20140709,000000,13.852,13.852,13.488,13.843,1331,0
LVC,D,20140710,000000,13.843,13.843,13.448,13.819,3246,0
LVC,D,20140711,000000,13.819,13.819,13.488,13.719,1761,0
LVC,D,20140714,000000,13.417,13.774,13.417,13.774,1716,0
LVC,D,20140715,000000,13.774,13.774,13.466,13.679,830,0
LVC,D,20140716,000000,13.774,13.774,13.301,13.517,1330,0
LVC,D,20140717,000000,13.596,13.596,13.177,13.564,2252,0
LVC,D,20140718,000000,13.557,13.774,13.253,13.774,1432,0
LVC,D,20140721,000000,13.564,13.564,13.177,13.448,2363,0
LVC,D,20140722,000000,13.481,13.581,13.41,13.41,85,0
LVC,D,20140723,000000,13.332,13.41,13.332,13.41,288,0
LVC,D,20140724,000000,13.41,13.41,13.363,13.363,2339,0
LVC,D,20140725,000000,13.549,13.549,13.239,13.309,11887,0
LVC,D,20140728,000000,13.629,13.629,13.525,13.525,3875,0
LVC,D,20140729,000000,13.067,13.424,13.067,13.265,10645,0
LVC,D,20140730,000000,13.297,13.297,13.146,13.226,319,0
LVC,D,20140731,000000,13.211,13.211,13.051,13.211,3019,0
LVC,D,20140801,000000,13.265,13.265,12.672,13.247,5630,0
LVC,D,20140804,000000,13.146,13.382,13.146,13.337,5114,0
LVC,D,20140805,000000,13.464,13.464,12.829,12.829,981,0
LVC,D,20140806,000000,12.868,12.868,12.672,12.672,6509,0
LVC,D,20140807,000000,12.663,12.663,11.879,12.402,21425,0
LVC,D,20140808,000000,12.402,12.402,11.404,12.038,11871,0
LVC,D,20140811,000000,12.188,12.188,12.029,12.038,2539,0
LVC,D,20140812,000000,12.226,12.226,11.879,12.029,106,0
LVC,D,20140813,000000,12.219,12.219,12.038,12.038,135,0
LVC,D,20140814,000000,12.226,12.226,11.682,12.038,437,0
LVC,D,20140818,000000,12.226,12.226,11.761,12.118,619,0
LVC,D,20140819,000000,12.109,12.109,11.879,12.038,914,0
LVC,D,20140820,000000,12.038,12.038,11.72,12.038,1352,0
LVC,D,20140821,000000,12.038,12.038,11.879,11.879,168,0
LVC,D,20140822,000000,11.919,12.038,11.919,12.038,707,0
LVC,D,20140825,000000,11.887,12.672,11.887,12.274,864,0
LVC,D,20140826,000000,12.274,12.274,11.919,12.029,69,0
LVC,D,20140827,000000,12.029,12.029,11.959,12.029,768,0
LVC,D,20140828,000000,12.029,12.029,11.879,11.879,13124,0
LVC,D,20140829,000000,11.879,11.879,11.53,11.72,16902,0
LVC,D,20140901,000000,11.879,11.879,11.245,11.871,15257,0
LVC,D,20140902,000000,11.879,11.879,11.485,11.871,4502,0
LVC,D,20140903,000000,11.563,12.672,11.563,12.672,2717,0
LVC,D,20140904,000000,12.672,12.751,12.363,12.743,3655,0
LVC,D,20140905,000000,12.751,12.751,12.196,12.196,1007,0
LVC,D,20140908,000000,12.274,12.274,11.879,12.267,1471,0
LVC,D,20140909,000000,12.267,12.267,11.8,11.879,178654,0
LVC,D,20140910,000000,11.997,11.997,11.879,11.941,178795,0
LVC,D,20140911,000000,12.656,12.656,12.118,12.157,2304,0
LVC,D,20140912,000000,12.235,12.584,12.235,12.584,51868,0
LVC,D,20140915,000000,12.663,13.105,12.592,12.837,26538,0
LVC,D,20140916,000000,12.829,13.155,12.829,13.146,44500,0
LVC,D,20140917,000000,13.162,13.851,13.162,13.48,32646,0
LVC,D,20140918,000000,13.693,13.859,13.48,13.859,33830,0
LVC,D,20140919,000000,14.167,14.167,14.129,14.129,575,0
LVC,D,20140922,000000,14.237,14.237,13.936,14.088,862,0
LVC,D,20140923,000000,14.096,14.364,14.088,14.256,4248,0
LVC,D,20140924,000000,14.256,14.256,14.174,14.256,7395,0
LVC,D,20140925,000000,14.256,14.256,13.724,14.256,5077,0
LVC,D,20140926,000000,13.875,14.256,13.868,14.256,4015,0
LVC,D,20140929,000000,14.256,14.492,14.174,14.484,11554,0
LVC,D,20140930,000000,14.484,14.492,14.018,14.492,20874,0
LVC,D,20141001,000000,14.492,14.492,14.27,14.492,19496,0
LVC,D,20141002,000000,14.492,14.492,14.406,14.477,50704,0
LVC,D,20141003,000000,14.492,14.492,14.193,14.198,63192,0
LVC,D,20141006,000000,14.174,14.603,14.174,14.603,23612,0
LVC,D,20141007,000000,14.611,14.611,14.318,14.571,31743,0
LVC,D,20141008,000000,14.611,14.611,14.286,14.571,40530,0
LVC,D,20141009,000000,14.611,14.611,14.571,14.571,15566,0
LVC,D,20141010,000000,14.611,14.651,14.571,14.571,16674,0
LVC,D,20141013,000000,14.611,14.747,14.611,14.729,14641,0
LVC,D,20141014,000000,14.692,14.729,14.532,14.532,40163,0
LVC,D,20141015,000000,14.611,14.611,14.256,14.422,487,0
LVC,D,20141016,000000,14.563,14.66,14.295,14.66,51187,0
LVC,D,20141017,000000,14.692,14.729,14.651,14.651,5869,0
LVC,D,20141020,000000,14.651,14.651,14.651,14.651,20,0
LVC,D,20141021,000000,14.651,14.651,14.651,14.651,12632,0
LVC,D,20141022,000000,14.722,14.722,14.651,14.651,12760,0
LVC,D,20141023,000000,14.651,14.651,14.651,14.651,12766,0
LVC,D,20141024,000000,14.651,14.651,14.415,14.651,2626,0
LVC,D,20141027,000000,14.722,14.722,14.642,14.642,135,0
LVC,D,20141028,000000,14.642,14.642,14.642,14.642,5,0
LVC,D,20141029,000000,14.642,14.642,14.642,14.642,3,0
LVC,D,20141030,000000,14.642,14.642,14.563,14.563,6,0
LVC,D,20141031,000000,14.633,14.633,14.256,14.256,6,0
LVC,D,20141103,000000,14.301,14.301,13.702,14.207,2295,0
LVC,D,20141104,000000,14.151,14.167,13.936,14.167,746,0
LVC,D,20141105,000000,14.256,15.047,14.207,14.264,5502,0
LVC,D,20141106,000000,14.286,14.373,14.286,14.373,62,0
LVC,D,20141107,000000,14.96,14.96,14.422,14.651,340,0
LVC,D,20141110,000000,14.919,14.926,14.88,14.88,3451,0
LVC,D,20141112,000000,14.905,15.363,14.849,15.198,54574,0
LVC,D,20141113,000000,15.165,15.799,15.165,15.719,2303,0
LVC,D,20141114,000000,15.719,15.719,15.284,15.719,1337,0
LVC,D,20141117,000000,15.679,15.679,15.284,15.625,140,0
LVC,D,20141118,000000,15.625,15.799,15.245,15.245,1693,0
LVC,D,20141119,000000,15.514,15.514,15.087,15.127,271,0
LVC,D,20141120,000000,15.039,15.039,14.507,14.864,223,0
LVC,D,20141121,000000,14.864,15.039,14.864,14.968,367,0
LVC,D,20141124,000000,15.039,15.039,14.953,14.953,1285,0
LVC,D,20141125,000000,15.039,15.444,15.039,15.22,33037,0
LVC,D,20141126,000000,15.284,17.819,15.284,17.819,60592,0
LVC,D,20141127,000000,17.422,17.819,16.448,17.588,9161,0
LVC,D,20141128,000000,17.605,20.117,17.597,19.806,67058,0
LVC,D,20141201,000000,19.806,21.968,19.798,21.968,237998,0
LVC,D,20141202,000000,22.174,22.174,20.59,21.225,7583,0
LVC,D,20141203,000000,20.472,23.678,20.472,23.678,25576,0
LVC,D,20141204,000000,23.757,24.865,22.426,22.426,173187,0
LVC,D,20141205,000000,22.426,24.153,22.174,24.114,8070,0
LVC,D,20141208,000000,24.114,24.549,22.489,22.95,10754,0
LVC,D,20141209,000000,22.568,22.61,20.947,20.947,7171,0
LVC,D,20141210,000000,20.954,22.149,20.954,21.69,627,0
LVC,D,20141211,000000,21.612,21.612,19.901,20.607,4635,0
LVC,D,20141212,000000,21.381,23.599,20.312,23.599,14192,0
LVC,D,20141215,000000,22.333,22.966,22.182,22.649,940,0
LVC,D,20141216,000000,21.857,21.857,21.381,21.381,6033,0
LVC,D,20141217,000000,21.381,22.649,21.381,22.568,1285,0
LVC,D,20141218,000000,22.649,22.966,22.489,22.966,25093,0
LVC,D,20141219,000000,23.36,23.479,22.411,22.966,19858,0
LVC,D,20141222,000000,23.479,23.479,22.443,23.299,218,0
LVC,D,20141223,000000,22.489,23.35,22.489,22.966,1745,0
LVC,D,20141229,000000,23.299,23.299,22.174,22.174,9501,0
LVC,D,20141230,000000,22.174,22.174,21.05,22.165,39593,0
LVC,D,20150102,000000,22.165,22.545,21.462,21.612,755,0
LVC,D,20150105,000000,21.778,22.363,21.778,22.174,1194,0
LVC,D,20150107,000000,21.698,22.182,21.698,22.174,1166,0
LVC,D,20150108,000000,22.165,22.165,21.381,21.778,9276,0
LVC,D,20150109,000000,21.762,21.778,21.263,21.778,4684,0
LVC,D,20150112,000000,21.927,22.879,21.698,22.489,25140,0
LVC,D,20150113,000000,22.063,22.063,21.913,21.945,382,0
LVC,D,20150114,000000,21.548,22.095,21.54,21.778,362,0
LVC,D,20150115,000000,21.628,21.628,21.619,21.619,681,0
LVC,D,20150116,000000,21.628,22.165,21.619,22.165,164,0
LVC,D,20150119,000000,22.165,22.165,21.032,21.381,14310,0
LVC,D,20150120,000000,21.422,21.58,21.422,21.422,3902,0
LVC,D,20150121,000000,21.406,21.698,21.025,21.698,7692,0
LVC,D,20150122,000000,21.802,21.802,21.462,21.47,981,0
LVC,D,20150123,000000,21.769,21.769,21.66,21.66,249,0
LVC,D,20150126,000000,21.731,22.531,21.731,22.396,8743,0
LVC,D,20150127,000000,23.115,25.839,22.703,25.839,58781,0
LVC,D,20150128,000000,26.331,27.636,24.787,25.777,10526,0
LVC,D,20150129,000000,26.927,27.4,24.73,25.541,41846,0
LVC,D,20150130,000000,25.649,26.291,24.947,26.291,8282,0
LVC,D,20150202,000000,26.491,26.491,25.113,26.133,4082,0
LVC,D,20150203,000000,26.275,26.275,25.333,25.333,3312,0
LVC,D,20150204,000000,25.333,25.34,24.31,25.34,35878,0
LVC,D,20150205,000000,25.34,26.768,24.947,26.529,21925,0
LVC,D,20150206,000000,26.521,26.687,26.449,26.687,1860,0
LVC,D,20150209,000000,27.275,27.275,25.974,25.974,15678,0
LVC,D,20150210,000000,25.894,26.133,25.104,25.445,10126,0
LVC,D,20150211,000000,25.438,25.438,24.985,25.135,619,0
LVC,D,20150212,000000,25.34,26.095,25.34,26.095,23768,0
LVC,D,20150213,000000,25.675,26.054,25.39,25.626,7394,0
LVC,D,20150216,000000,25.642,26.133,25.617,25.649,82626,0
LVC,D,20150217,000000,25.649,26.3,25.418,26.125,60236,0
LVC,D,20150218,000000,26.125,26.133,25.839,25.839,1916,0
LVC,D,20150219,000000,26.038,26.687,25.839,26.687,2900,0
LVC,D,20150220,000000,26.687,27.501,26.687,27.322,4236,0
LVC,D,20150223,000000,27.636,29.144,27.636,28.51,7667,0
LVC,D,20150224,000000,28.825,28.825,28.01,28.51,5252,0
LVC,D,20150225,000000,28.154,28.154,27.003,27.718,1613,0
LVC,D,20150226,000000,28.313,28.313,27.003,27.987,848,0
LVC,D,20150227,000000,27.885,28.501,27.885,28.486,4177,0
LVC,D,20150302,000000,28.51,28.51,26.927,28.343,5137,0
LVC,D,20150303,000000,28.114,28.114,27.242,27.242,4286,0
LVC,D,20150304,000000,27.061,27.694,26.927,27.607,3296,0
LVC,D,20150305,000000,27.441,27.678,27.4,27.669,660,0
LVC,D,20150306,000000,27.322,27.353,26.222,26.222,3944,0
LVC,D,20150309,000000,26.401,27.147,25.438,27.147,14336,0
LVC,D,20150310,000000,27.156,28.191,27.068,28.114,14213,0
LVC,D,20150311,000000,28.114,28.114,27.361,27.4,318,0
LVC,D,20150313,000000,27.4,27.718,26.927,26.927,1403,0
LVC,D,20150316,000000,27.307,27.636,27.012,27.124,1876,0
LVC,D,20150317,000000,26.933,27.003,26.807,26.807,749,0
LVC,D,20150318,000000,26.711,26.807,26.65,26.65,359,0
LVC,D,20150319,000000,26.727,27.636,26.687,27.52,2737,0
LVC,D,20150320,000000,27.52,27.636,26.927,27.636,2141,0
LVC,D,20150323,000000,27.242,27.623,26.845,27.344,3175,0
LVC,D,20150324,000000,27.322,28.114,27.322,27.995,29755,0
LVC,D,20150325,000000,27.607,27.607,26.687,26.886,1135,0
LVC,D,20150326,000000,27.242,27.315,26.886,27.163,1680,0
LVC,D,20150327,000000,27.322,27.718,26.687,26.799,15041,0
LVC,D,20150330,000000,27.163,28.019,26.608,26.608,15229,0
LVC,D,20150331,000000,26.212,26.212,25.777,25.839,20316,0
LVC,D,20150401,000000,25.974,27.52,25.974,26.927,57075,0
LVC,D,20150402,000000,27.424,27.636,27.322,27.472,6414,0
LVC,D,20150407,000000,27.501,28.033,27.33,27.33,4133,0
LVC,D,20150408,000000,27.33,27.33,26.536,27.082,3599,0
LVC,D,20150409,000000,27.082,27.082,26.291,26.356,5732,0
LVC,D,20150410,000000,26.374,26.529,26.133,26.374,6925,0
LVC,D,20150413,000000,26.449,26.449,25.34,25.579,5477,0
LVC,D,20150414,000000,25.508,25.508,23.36,24.137,11118,0
LVC,D,20150415,000000,24.114,25.023,23.757,25.023,4481,0
LVC,D,20150416,000000,25.023,25.579,25.023,25.191,1924,0
LVC,D,20150417,000000,25.617,25.617,24.865,24.865,3081,0
LVC,D,20150420,000000,24.858,24.858,24.193,24.549,2047,0
LVC,D,20150421,000000,24.549,24.842,24.193,24.193,2146,0
LVC,D,20150422,000000,24.296,24.51,24.177,24.43,1078,0
LVC,D,20150423,000000,24.549,24.858,24.43,24.708,2603,0
LVC,D,20150424,000000,24.549,24.947,24.549,24.549,2255,0
LVC,D,20150427,000000,24.748,24.748,23.871,24.549,6688,0
LVC,D,20150428,000000,24.676,24.676,23.914,24.541,842,0
LVC,D,20150429,000000,24.541,24.541,23.757,24.132,8215,0
LVC,D,20150430,000000,24.478,24.478,23.765,23.765,2182,0
LVC,D,20150504,000000,23.757,24.153,23.757,23.941,5968,0
LVC,D,20150505,000000,24.153,24.469,23.996,24.201,12090,0
LVC,D,20150506,000000,24.272,24.272,23.806,23.996,4612,0
LVC,D,20150507,000000,24.011,24.114,24.006,24.066,8162,0
LVC,D,20150508,000000,24.272,24.906,24.233,24.708,1118,0
LVC,D,20150511,000000,25.737,25.983,25.34,25.983,12472,0
LVC,D,20150512,000000,26.117,26.133,25.737,25.974,9150,0
LVC,D,20150513,000000,25.579,26.212,24.565,26.198,15392,0
LVC,D,20150514,000000,26.125,26.125,25.104,25.34,1708,0
LVC,D,20150515,000000,25.737,25.737,24.961,25.737,872,0
LVC,D,20150518,000000,25.737,25.737,23.678,23.678,8675,0
LVC,D,20150519,000000,24.947,25.959,24.31,25.959,27914,0
LVC,D,20150520,000000,25.937,25.937,24.549,25.73,23500,0
LVC,D,20150521,000000,25.642,25.642,25.064,25.469,591,0
LVC,D,20150522,000000,25.143,25.418,25.143,25.263,2691,0
LVC,D,20150525,000000,25.253,25.382,25.143,25.34,604,0
LVC,D,20150526,000000,25.34,26.125,25.191,25.888,22116,0
LVC,D,20150527,000000,25.888,25.937,24.947,25.937,1545,0
LVC,D,20150528,000000,25.894,25.937,25.033,25.818,2524,0
LVC,D,20150529,000000,25.894,25.937,25.818,25.937,3455,0
LVC,D,20150601,000000,25.966,25.966,25.34,25.918,1037,0
LVC,D,20150602,000000,25.918,25.974,25.737,25.974,906,0
LVC,D,20150603,000000,26.014,26.014,25.348,25.856,1069,0
LVC,D,20150605,000000,25.818,25.818,25.072,25.072,1830,0
LVC,D,20150608,000000,24.804,25.617,24.787,25.491,1308,0
LVC,D,20150609,000000,25.579,25.603,24.549,24.787,4679,0
LVC,D,20150610,000000,24.787,25.34,24.787,24.906,1238,0
LVC,D,20150611,000000,25.023,25.34,24.787,25.182,3025,0
LVC,D,20150612,000000,24.708,24.708,24.414,24.519,1074,0
LVC,D,20150615,000000,24.708,25.135,24.399,25.135,637,0
LVC,D,20150616,000000,25.127,25.127,24.469,24.787,1171,0
LVC,D,20150617,000000,24.985,25.023,24.978,25.023,728,0
LVC,D,20150618,000000,24.787,24.787,24.153,24.351,1856,0
LVC,D,20150619,000000,24.883,24.883,23.765,23.765,3163,0
LVC,D,20150622,000000,24.233,24.233,22.031,23.718,21290,0
LVC,D,20150623,000000,23.52,23.678,22.754,23.678,4680,0
LVC,D,20150624,000000,23.165,23.622,22.806,23.622,2567,0
LVC,D,20150625,000000,23.614,23.678,22.973,23.63,2096,0
LVC,D,20150626,000000,23.417,23.417,23.345,23.409,1912,0
LVC,D,20150629,000000,22.95,22.95,20.671,22.451,9157,0
LVC,D,20150630,000000,22.411,22.411,21.905,22.396,1552,0
LVC,D,20150701,000000,21.991,22.482,21.795,22.174,8742,0
LVC,D,20150702,000000,22.174,22.371,21.857,21.857,3555,0
LVC,D,20150703,000000,22.174,22.174,21.778,22.056,2757,0
LVC,D,20150706,000000,21.58,22.958,21.58,22.879,2285,0
LVC,D,20150707,000000,23.678,23.749,22.174,22.649,3001,0
LVC,D,20150708,000000,22.371,22.371,21.935,21.935,986,0
LVC,D,20150709,000000,21.778,22.174,21.778,22.015,596,0
LVC,D,20150710,000000,23.203,23.283,22.966,23.283,631,0
LVC,D,20150713,000000,23.757,23.987,23.442,23.678,3279,0
LVC,D,20150714,000000,23.527,23.527,23.36,23.36,206,0
LVC,D,20150715,000000,23.749,24.145,23.568,23.568,10048,0
LVC,D,20150716,000000,23.749,24.393,23.52,24.393,4760,0
LVC,D,20150717,000000,24.541,24.565,23.914,23.914,1265,0
LVC,D,20150720,000000,23.956,23.956,23.52,23.757,1630,0
LVC,D,20150721,000000,23.956,23.956,23.165,23.52,4131,0
LVC,D,20150722,000000,24.21,24.21,22.687,23.308,8089,0
LVC,D,20150723,000000,23.749,23.749,22.973,23.006,620,0
LVC,D,20150724,000000,23.014,23.156,23.014,23.156,190,0
LVC,D,20150727,000000,23.559,23.559,23.006,23.36,1238,0
LVC,D,20150728,000000,23.094,23.857,22.77,23.541,1374,0
LVC,D,20150729,000000,23.613,23.613,23.531,23.531,443,0
LVC,D,20150730,000000,23.531,23.695,23.531,23.695,870,0
LVC,D,20150731,000000,23.531,23.824,23.531,23.824,836,0
LVC,D,20150803,000000,23.824,23.847,23.531,23.847,1550,0
LVC,D,20150804,000000,23.93,23.939,23.531,23.939,10706,0
LVC,D,20150805,000000,22.314,23.939,22.314,23.939,879,0
LVC,D,20150806,000000,24.328,24.342,23.37,23.491,906,0
LVC,D,20150807,000000,23.531,23.531,23.289,23.531,13277,0
LVC,D,20150810,000000,23.613,23.93,23.531,23.93,915,0
LVC,D,20150811,000000,24.587,24.903,24.126,24.903,15812,0
LVC,D,20150812,000000,24.913,24.913,24.691,24.832,544,0
LVC,D,20150813,000000,25.034,25.034,24.75,25.024,1392,0
LVC,D,20150814,000000,25.034,25.034,24.709,24.913,1759,0
LVC,D,20150817,000000,25.042,25.56,24.75,25.455,9642,0
LVC,D,20150818,000000,25.478,25.959,25.237,25.959,19474,0
LVC,D,20150819,000000,25.951,26.78,25.835,26.616,12242,0
LVC,D,20150820,000000,26.78,26.78,26.495,26.696,1766,0
LVC,D,20150821,000000,26.658,26.658,25.478,25.56,1583,0
LVC,D,20150824,000000,24.342,24.342,21.909,22.801,16794,0
LVC,D,20150825,000000,22.801,24.66,22.801,24.342,2600,0
LVC,D,20150826,000000,24.717,24.717,23.531,23.939,2292,0
LVC,D,20150827,000000,24.019,25.116,24.019,25.107,856,0
LVC,D,20150828,000000,25.107,25.116,24.108,25.097,1734,0
LVC,D,20150831,000000,25.155,25.155,24.019,24.789,922,0
LVC,D,20150901,000000,24.913,24.913,23.963,24.709,1965,0
LVC,D,20150902,000000,24.913,25.965,24.587,25.376,11475,0
LVC,D,20150903,000000,25.681,25.951,25.155,25.56,948,0
LVC,D,20150904,000000,25.965,25.965,24.757,25.478,5287,0
LVC,D,20150907,000000,24.506,25.602,24.506,25.602,742,0
LVC,D,20150908,000000,25.602,25.602,24.523,24.709,3353,0
LVC,D,20150909,000000,25.554,25.554,24.709,24.96,747,0
LVC,D,20150910,000000,25.376,25.554,25.187,25.187,57143,0
LVC,D,20150911,000000,25.56,25.56,24.75,25.56,63460,0
LVC,D,20150914,000000,25.56,25.602,25.196,25.56,1221,0
