<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MCR,D,20070719,000000,18.39,23.282,18.39,21.912,3198653,0
MCR,D,20070720,000000,21.912,21.912,20.347,20.347,353540,0
MCR,D,20070723,000000,19.76,20.738,19.624,19.956,92609,0
MCR,D,20070724,000000,19.936,20.718,19.563,20.347,86770,0
MCR,D,20070725,000000,20.542,20.542,19.368,19.563,254803,0
MCR,D,20070726,000000,19.76,19.76,19.015,19.178,34521,0
MCR,D,20070727,000000,19.173,19.173,18.078,19.173,43611,0
MCR,D,20070730,000000,18.782,18.938,18.39,18.782,10591,0
MCR,D,20070731,000000,18.782,20.151,18.782,19.799,199970,0
MCR,D,20070801,000000,19.799,19.799,18.468,19.467,21762,0
MCR,D,20070802,000000,19.563,19.682,19.212,19.212,226875,0
MCR,D,20070803,000000,19.525,19.545,19.173,19.173,3324,0
MCR,D,20070806,000000,18.782,18.782,17.999,17.999,15526,0
MCR,D,20070807,000000,18.39,18.938,17.999,18.625,167781,0
MCR,D,20070808,000000,18.782,19.095,18.664,18.703,3895,0
MCR,D,20070809,000000,18.938,18.938,18.547,18.566,15722,0
MCR,D,20070810,000000,17.882,18.43,17.022,17.999,26102,0
MCR,D,20070813,000000,17.999,18.782,17.999,18.743,2957,0
MCR,D,20070814,000000,18.821,18.821,18.135,18.135,852,0
MCR,D,20070816,000000,16.997,17.099,15.302,15.651,42929,0
MCR,D,20070817,000000,15.651,16.121,15.26,15.651,30778,0
MCR,D,20070820,000000,16.825,16.825,15.651,15.651,9512,0
MCR,D,20070821,000000,16.044,16.044,14.784,15.26,5715,0
MCR,D,20070822,000000,15.26,17.217,15.26,16.825,69518,0
MCR,D,20070823,000000,18.195,18.195,17.49,17.49,180694,0
MCR,D,20070824,000000,18.195,18.195,17.92,17.959,3180,0
MCR,D,20070827,000000,17.92,18.703,17.608,17.999,7029,0
MCR,D,20070828,000000,18.39,18.39,17.217,17.92,1268,0
MCR,D,20070829,000000,16.825,17.604,16.825,17.49,20306,0
MCR,D,20070830,000000,17.608,17.655,17.608,17.647,14693,0
MCR,D,20070831,000000,17.256,17.803,17.256,17.652,1529,0
MCR,D,20070903,000000,17.999,18.195,17.882,18.195,5784,0
MCR,D,20070904,000000,18.234,18.234,17.999,18.195,5016,0
MCR,D,20070905,000000,17.882,18.156,17.882,18.156,6760,0
MCR,D,20070906,000000,18.195,18.351,17.608,18.351,126277,0
MCR,D,20070907,000000,18.39,18.39,17.022,18.39,6379,0
MCR,D,20070910,000000,16.868,18.195,16.868,18.195,4295,0
MCR,D,20070911,000000,18.313,18.313,18.313,18.313,1508,0
MCR,D,20070912,000000,17.612,18.152,17.608,18.152,129,0
