<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NVT,D,19941216,000000,4.9861,4.9861,4.9861,4.9861,82902,0
NVT,D,19941219,000000,5.3588,5.3588,5.3588,5.3588,228250,0
NVT,D,19941220,000000,5.0792,5.0792,5.0792,5.0792,75669,0
NVT,D,19941221,000000,4.9861,4.9861,4.9861,4.9861,46450,0
NVT,D,19941222,000000,5.1258,5.1258,5.1258,5.1258,40119,0
NVT,D,19941223,000000,5.219,5.219,5.219,5.219,47727,0
NVT,D,19941227,000000,5.1258,5.1258,5.1258,5.1258,42567,0
NVT,D,19941228,000000,4.9861,4.9861,4.9861,4.9861,43962,0
NVT,D,19941229,000000,5.219,5.219,5.219,5.219,46179,0
NVT,D,19950102,000000,5.5919,5.5919,5.5919,5.5919,62862,0
NVT,D,19950103,000000,6.1511,6.1511,6.1511,6.1511,152086,0
NVT,D,19950104,000000,6.0111,6.0111,6.0111,6.0111,103722,0
NVT,D,19950105,000000,6.0579,6.0579,6.0579,6.0579,91284,0
NVT,D,19950106,000000,5.6385,5.6385,5.6385,5.6385,60479,0
NVT,D,19950109,000000,5.7784,5.7784,5.7784,5.7784,47768,0
NVT,D,19950110,000000,5.7784,5.7784,5.7784,5.7784,37898,0
NVT,D,19950111,000000,5.5919,5.5919,5.5919,5.5919,15198,0
NVT,D,19950112,000000,5.7316,5.7316,5.7316,5.7316,49984,0
NVT,D,19950113,000000,5.8714,5.8714,5.8714,5.8714,39341,0
NVT,D,19950116,000000,5.8249,5.8249,5.8249,5.8249,20346,0
NVT,D,19950117,000000,5.6385,5.6385,5.6385,5.6385,27404,0
NVT,D,19950118,000000,5.452,5.452,5.452,5.452,20728,0
NVT,D,19950119,000000,5.452,5.452,5.452,5.452,43380,0
NVT,D,19950120,000000,5.3588,5.3588,5.3588,5.3588,27058,0
NVT,D,19950123,000000,5.219,5.219,5.219,5.219,34393,0
NVT,D,19950124,000000,5.0326,5.0326,5.0326,5.0326,36164,0
NVT,D,19950125,000000,4.9395,4.9395,4.9395,4.9395,59115,0
NVT,D,19950126,000000,4.7531,4.7531,4.7531,4.7531,32823,0
NVT,D,19950127,000000,4.7531,4.7531,4.7531,4.7531,38817,0
NVT,D,19950130,000000,4.7531,4.7531,4.7531,4.7531,45969,0
NVT,D,19950131,000000,4.5202,4.5202,4.5202,4.5202,32743,0
NVT,D,19950201,000000,4.6598,4.6598,4.6598,4.6598,58263,0
NVT,D,19950202,000000,4.2871,4.2871,4.2871,4.2871,87007,0
NVT,D,19950203,000000,4.1939,4.1939,4.1939,4.1939,42085,0
NVT,D,19950206,000000,4.6133,4.6133,4.6133,4.6133,31756,0
NVT,D,19950207,000000,5.0326,5.0326,5.0326,5.0326,102727,0
NVT,D,19950208,000000,5.0326,5.0326,5.0326,5.0326,105112,0
NVT,D,19950209,000000,5.219,5.219,5.219,5.219,73099,0
NVT,D,19950210,000000,4.9861,4.9861,4.9861,4.9861,61671,0
NVT,D,19950213,000000,4.7997,4.7997,4.7997,4.7997,55942,0
NVT,D,19950214,000000,5.0326,5.0326,5.0326,5.0326,37953,0
NVT,D,19950215,000000,4.9861,4.9861,4.9861,4.9861,39809,0
NVT,D,19950216,000000,5.1258,5.1258,5.1258,5.1258,69452,0
NVT,D,19950217,000000,5.0326,5.0326,5.0326,5.0326,67857,0
NVT,D,19950220,000000,4.7997,4.7997,4.7997,4.7997,29166,0
NVT,D,19950221,000000,4.3337,4.3337,4.3337,4.3337,109493,0
NVT,D,19950222,000000,4.427,4.427,4.427,4.427,45063,0
NVT,D,19950223,000000,4.6133,4.6133,4.6133,4.6133,51154,0
NVT,D,19950224,000000,5.0326,5.0326,5.0326,5.0326,92695,0
NVT,D,19950227,000000,4.6598,4.6598,4.6598,4.6598,63197,0
NVT,D,19950228,000000,4.5666,4.5666,4.5666,4.5666,20695,0
NVT,D,19950301,000000,4.5666,4.5666,4.5666,4.5666,15112,0
NVT,D,19950302,000000,4.6598,4.6598,4.6598,4.6598,28754,0
NVT,D,19950303,000000,4.8929,4.8929,4.8929,4.8929,52934,0
NVT,D,19950306,000000,4.8929,4.8929,4.8929,4.8929,33006,0
NVT,D,19950307,000000,4.8929,4.8929,4.8929,4.8929,36993,0
NVT,D,19950308,000000,4.9395,4.9395,4.9395,4.9395,21966,0
NVT,D,19950309,000000,4.8462,4.8462,4.8462,4.8462,18777,0
NVT,D,19950310,000000,4.7531,4.7531,4.7531,4.7531,29668,0
NVT,D,19950313,000000,4.7531,4.7531,4.7531,4.7531,15989,0
NVT,D,19950314,000000,4.6598,4.6598,4.6598,4.6598,22426,0
NVT,D,19950315,000000,4.5666,4.5666,4.5666,4.5666,37005,0
NVT,D,19950316,000000,4.6598,4.6598,4.6598,4.6598,21782,0
NVT,D,19950317,000000,4.5666,4.5666,4.5666,4.5666,16640,0
NVT,D,19950320,000000,4.5202,4.5202,4.5202,4.5202,6860,0
NVT,D,19950321,000000,4.5202,4.5202,4.5202,4.5202,15045,0
NVT,D,19950322,000000,4.427,4.427,4.427,4.427,26994,0
NVT,D,19950323,000000,4.3337,4.3337,4.3337,4.3337,18458,0
NVT,D,19950324,000000,4.4736,4.4736,4.4736,4.4736,11733,0
NVT,D,19950327,000000,4.6133,4.6133,4.6133,4.6133,17776,0
NVT,D,19950328,000000,4.4736,4.4736,4.4736,4.4736,17321,0
NVT,D,19950329,000000,4.4736,4.4736,4.4736,4.4736,10618,0
NVT,D,19950330,000000,4.5666,4.5666,4.5666,4.5666,10073,0
NVT,D,19950331,000000,4.6133,4.6133,4.6133,4.6133,16365,0
NVT,D,19950403,000000,4.6598,4.6598,4.6598,4.6598,23067,0
NVT,D,19950404,000000,4.7531,4.7531,4.7531,4.7531,41448,0
NVT,D,19950405,000000,4.7531,4.7531,4.7531,4.7531,50072,0
NVT,D,19950406,000000,4.8929,4.8929,4.8929,4.8929,90438,0
NVT,D,19950407,000000,5.0792,5.0792,5.0792,5.0792,145394,0
NVT,D,19950410,000000,5.5453,5.5453,5.5453,5.5453,203417,0
NVT,D,19950411,000000,5.7784,5.7784,5.7784,5.7784,134383,0
NVT,D,19950412,000000,5.8249,5.8249,5.8249,5.8249,162580,0
NVT,D,19950413,000000,5.5919,5.5919,5.5919,5.5919,87092,0
NVT,D,19950414,000000,5.6385,5.6385,5.6385,5.6385,142237,0
NVT,D,19950418,000000,6.0579,6.0579,6.0579,6.0579,132472,0
NVT,D,19950419,000000,6.2909,6.2909,6.2909,6.2909,173902,0
NVT,D,19950420,000000,6.0111,6.0111,6.0111,6.0111,85421,0
NVT,D,19950421,000000,5.452,5.452,5.452,5.452,157186,0
NVT,D,19950424,000000,5.9647,5.9647,5.9647,5.9647,203534,0
NVT,D,19950425,000000,5.8249,5.8249,5.8249,5.8249,145495,0
NVT,D,19950426,000000,5.5919,5.5919,5.5919,5.5919,138506,0
NVT,D,19950427,000000,5.8249,5.8249,5.8249,5.8249,77770,0
NVT,D,19950428,000000,5.9181,5.9181,5.9181,5.9181,85418,0
NVT,D,19950504,000000,6.0579,6.0579,6.0579,6.0579,101272,0
NVT,D,19950505,000000,6.1511,6.1511,6.1511,6.1511,78846,0
