<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
OPM,D,20101011,000000,2.484,2.6617,2.391,2.391,91224,0
OPM,D,20101012,000000,2.3487,2.3698,2.3064,2.3274,23640,0
OPM,D,20101013,000000,2.3487,2.3487,2.2429,2.3148,14944,0
OPM,D,20101014,000000,2.3064,2.3064,2.2301,2.264,3341,0
OPM,D,20101015,000000,2.2005,2.3064,2.1794,2.3064,18338,0
OPM,D,20101018,000000,2.4121,2.4121,2.3274,2.3274,8834,0
OPM,D,20101019,000000,2.3698,2.3698,2.3064,2.3698,1974,0
OPM,D,20101020,000000,2.3656,2.3656,2.2852,2.3656,3960,0
OPM,D,20101021,000000,2.3656,2.3656,2.2471,2.2471,8361,0
OPM,D,20101022,000000,2.2429,2.3274,2.0735,2.3274,26186,0
OPM,D,20101025,000000,2.2429,2.2725,2.2429,2.2725,1774,0
OPM,D,20101026,000000,2.3064,2.3064,2.3064,2.3064,4,0
OPM,D,20101027,000000,2.1413,2.2809,2.1413,2.2809,10291,0
OPM,D,20101028,000000,2.2978,2.2978,2.2429,2.2852,708,0
OPM,D,20101029,000000,2.2809,2.319,2.2809,2.319,4711,0
OPM,D,20101102,000000,2.319,2.3233,2.319,2.3233,3682,0
OPM,D,20101103,000000,2.319,2.3274,2.319,2.3274,303,0
OPM,D,20101104,000000,2.3274,2.3274,2.2852,2.2852,1634,0
OPM,D,20101105,000000,2.3148,2.3148,2.2852,2.2852,1461,0
OPM,D,20101108,000000,2.3148,2.3148,2.2598,2.2852,61,0
OPM,D,20101109,000000,2.2852,2.2852,2.2555,2.2555,1408,0
OPM,D,20101110,000000,2.2809,2.2809,2.2809,2.2809,4,0
OPM,D,20101112,000000,2.2598,2.2598,2.2598,2.2598,4,0
OPM,D,20101115,000000,2.1836,2.2598,2.1836,2.2598,475,0
OPM,D,20101116,000000,2.2598,2.2598,2.1836,2.1836,235,0
OPM,D,20101117,000000,2.2598,2.2598,2.2598,2.2598,4,0
OPM,D,20101118,000000,2.2598,2.2809,2.1794,2.2809,3063,0
OPM,D,20101119,000000,2.2809,2.2809,2.2259,2.2259,405,0
OPM,D,20101122,000000,2.2809,2.2809,2.1413,2.2259,1162,0
OPM,D,20101123,000000,2.2809,2.2809,2.2259,2.2259,231,0
OPM,D,20101124,000000,2.2809,2.2809,2.2005,2.2005,3661,0
OPM,D,20101125,000000,2.1963,2.1963,2.1963,2.1963,358,0
OPM,D,20101126,000000,2.1963,2.1963,2.0905,2.1582,2720,0
OPM,D,20101129,000000,2.1582,2.1582,2.0947,2.0947,502,0
OPM,D,20101130,000000,2.1582,2.1582,2.0735,2.0735,2368,0
OPM,D,20101201,000000,2.1582,2.1582,2.0735,2.0735,5609,0
OPM,D,20101202,000000,2.1582,2.1709,2.1159,2.1709,1779,0
OPM,D,20101203,000000,2.2555,2.2809,2.1879,2.1879,4571,0
OPM,D,20101206,000000,2.2852,2.2852,2.2809,2.2809,734,0
OPM,D,20101207,000000,2.2809,2.2809,2.2048,2.2048,592,0
OPM,D,20101208,000000,2.2005,2.2005,2.2005,2.2005,2366,0
OPM,D,20101209,000000,2.2809,2.2809,2.2217,2.2217,227,0
OPM,D,20101210,000000,2.1582,2.1582,2.1582,2.1582,731,0
OPM,D,20101213,000000,2.2767,2.2767,2.2217,2.2217,227,0
OPM,D,20101214,000000,2.2767,2.2767,2.2767,2.2767,4,0
OPM,D,20101215,000000,2.2429,2.2429,2.2429,2.2429,290,0
OPM,D,20101216,000000,2.2767,2.2767,2.2767,2.2767,2,0
OPM,D,20101217,000000,2.2767,2.2767,2.2174,2.2259,1030,0
OPM,D,20101220,000000,2.264,2.264,2.264,2.264,8,0
OPM,D,20101221,000000,2.2429,2.2429,2.1582,2.1582,301,0
OPM,D,20101222,000000,2.1582,2.1921,2.1582,2.1921,3152,0
OPM,D,20101223,000000,2.1921,2.1921,2.1413,2.1413,868095,0
OPM,D,20101227,000000,2.1455,2.1455,2.1159,2.1159,562,0
OPM,D,20101228,000000,2.1921,2.1921,2.1159,2.1159,645,0
OPM,D,20101229,000000,2.264,2.264,2.264,2.264,4,0
OPM,D,20101230,000000,2.2429,2.2429,2.1243,2.2429,36,0
OPM,D,20101231,000000,2.2429,2.2429,2.2429,2.2429,9,0
OPM,D,20110103,000000,2.2429,2.2429,2.1836,2.1836,231,0
OPM,D,20110104,000000,2.1879,2.1879,2.0947,2.0947,519,0
OPM,D,20110105,000000,2.2809,2.2809,2.1582,2.1582,1827,0
OPM,D,20110107,000000,2.1624,2.1624,2.1624,2.1624,17,0
