<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PCF,D,20201218,000000,85,85,65.2,74.98,783054,0
PCF,D,20201221,000000,75,77,67.5,69.49,125497,0
PCF,D,20201222,000000,69.95,74.78,67.51,72.78,48218,0
PCF,D,20201223,000000,73,73.51,70.01,71,23787,0
PCF,D,20201228,000000,72,73.4,68.5,70.56,71729,0
PCF,D,20201229,000000,71,72.44,70.02,71.39,41119,0
PCF,D,20201230,000000,71.85,71.85,70.2,70.21,29871,0
PCF,D,20210104,000000,71.99,75,71,74.2,19146,0
PCF,D,20210105,000000,75.2,81,75,80,53682,0
PCF,D,20210107,000000,75,86.69,74.65,80,123623,0
PCF,D,20210108,000000,81.4,81.5,76.92,76.99,34954,0
PCF,D,20210111,000000,77,79.77,77,77.9,15812,0
PCF,D,20210112,000000,78.9,80.27,78,78.5,13637,0
PCF,D,20210113,000000,78.6,78.7,77.06,77.5,10304,0
PCF,D,20210114,000000,77.99,79.13,77.96,78.3,9524,0
PCF,D,20210115,000000,79.36,79.36,77.77,78.5,6025,0
PCF,D,20210118,000000,79.4,79.5,77.9,78.5,9153,0
PCF,D,20210119,000000,78.4,78.4,77.2,77.84,6280,0
PCF,D,20210120,000000,78,78.5,77.5,77.9,7959,0
PCF,D,20210121,000000,78.1,78.2,76.76,77,12444,0
PCF,D,20210122,000000,76.6,76.92,75.2,76.25,6390,0
PCF,D,20210125,000000,76.26,77.29,76,76.3,6974,0
PCF,D,20210126,000000,76.28,77.56,75.8,76.78,3854,0
PCF,D,20210127,000000,76.32,77.12,74.4,74.61,19211,0
PCF,D,20210128,000000,75,75,72.2,75,19296,0
PCF,D,20210129,000000,75.4,75.65,74.12,74.5,12384,0
PCF,D,20210201,000000,75,75.5,72,72,18717,0
PCF,D,20210202,000000,73,74,71.5,71.5,41937,0
PCF,D,20210203,000000,72.6,73,71.6,72,24814,0
PCF,D,20210204,000000,72.59,78,72,78,152375,0
PCF,D,20210205,000000,78.23,81.4,75.2,79,60908,0
