<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PCFA,D,20201218,000000,85,85,69.9,74,751266,0
PCFA,D,20201221,000000,76.5,76.5,65,69.12,127431,0
PCFA,D,20201222,000000,69.2,73.7,66.5,71.69,72644,0
PCFA,D,20201223,000000,72.1,72.3,69.12,70,38097,0
PCFA,D,20201228,000000,70.13,71.8,69.5,70.67,59605,0
PCFA,D,20201229,000000,70.3,72.5,70,71.16,26702,0
PCFA,D,20201230,000000,71.65,71.65,70.42,70.55,31297,0
PCFA,D,20210104,000000,71,74.9,70.3,73.94,26753,0
PCFA,D,20210105,000000,74.2,79.2,74.2,78.77,55163,0
PCFA,D,20210107,000000,74.5,84.5,73.99,80.93,74972,0
PCFA,D,20210108,000000,80.5,81,76.7,77,50237,0
PCFA,D,20210111,000000,76.6,79.4,76.6,77.8,11891,0
PCFA,D,20210112,000000,78.7,80.78,78.4,79,15910,0
PCFA,D,20210113,000000,79,79.1,76.84,77.79,10565,0
PCFA,D,20210114,000000,77.12,79,77.12,78.6,7002,0
PCFA,D,20210115,000000,78.6,78.6,77.71,78.37,6077,0
PCFA,D,20210118,000000,78.37,78.69,77.7,77.95,6235,0
PCFA,D,20210119,000000,77.95,78.15,77.71,77.79,6313,0
PCFA,D,20210120,000000,77.76,78.2,77.5,78.01,5601,0
PCFA,D,20210121,000000,78.1,78.1,76.7,76.9,10211,0
PCFA,D,20210122,000000,76.7,76.7,75.1,75.5,12209,0
PCFA,D,20210125,000000,75.5,77.4,75.5,76.4,3914,0
PCFA,D,20210126,000000,76.4,77.2,75.75,76.87,5906,0
PCFA,D,20210127,000000,76.87,76.87,74.3,74.54,19041,0
PCFA,D,20210128,000000,74.59,75.98,72,75,11172,0
PCFA,D,20210129,000000,75,75.46,73.9,74.3,14503,0
PCFA,D,20210201,000000,74.01,74.65,71.55,72,16573,0
PCFA,D,20210202,000000,72.86,73.98,71.81,71.88,11366,0
