<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PURA,D,20201214,000000,103,105,92.8,94,38794,0
PURA,D,20201215,000000,94,95.8,93,94.6,6506,0
PURA,D,20201216,000000,95.6,96.6,94.2,95.4,3975,0
PURA,D,20201217,000000,96,103,96,100.5,13067,0
PURA,D,20201218,000000,103,103,98.8,102,9190,0
PURA,D,20201221,000000,102.5,104.5,99,102,5740,0
PURA,D,20201222,000000,102,106.5,102,106,3727,0
PURA,D,20201223,000000,108,109,105,106,4541,0
PURA,D,20201228,000000,107,112,107,109,6524,0
PURA,D,20201229,000000,112,113,105,108,7768,0
PURA,D,20201230,000000,108,108.5,107,107.5,2395,0
PURA,D,20210104,000000,111.5,112.5,111,111,5280,0
PURA,D,20210105,000000,111.5,116,111.5,115,1555,0
PURA,D,20210107,000000,113.5,117,113.5,116,1566,0
PURA,D,20210108,000000,116.5,118,114.5,117,2392,0
PURA,D,20210111,000000,118,126,118,124,8183,0
PURA,D,20210112,000000,126.5,130,126,129,2521,0
PURA,D,20210113,000000,129.5,130,126,130,1261,0
PURA,D,20210114,000000,130,135,126,129,1700,0
PURA,D,20210115,000000,129,129,123,125,1206,0
PURA,D,20210118,000000,125,134,125,131.5,3079,0
PURA,D,20210119,000000,134,134,131.5,132,978,0
PURA,D,20210120,000000,132,133,130,133,1498,0
PURA,D,20210121,000000,134.5,135,132,133,1526,0
PURA,D,20210122,000000,133,133,128,133,1547,0
PURA,D,20210125,000000,132.5,132.5,128,131.5,580,0
PURA,D,20210126,000000,131.5,131.5,127.5,127.5,715,0
PURA,D,20210127,000000,127.5,128,120,125,3057,0
PURA,D,20210128,000000,126,129,120,128,1227,0
PURA,D,20210129,000000,127.5,128,123.5,126.5,603,0
PURA,D,20210201,000000,125,125.5,123,125,514,0
PURA,D,20210202,000000,125,128,120.5,128,1768,0
PURA,D,20210203,000000,126,129,126,127.5,502,0
