<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
QNT,D,20070816,000000,11.994,13.194,11.206,12.176,91775,0
QNT,D,20070817,000000,12.435,13.26,11.698,12.72,45703,0
QNT,D,20070820,000000,13.631,13.811,12.764,13.025,12983,0
QNT,D,20070821,000000,13.206,13.206,12.116,12.72,23734,0
QNT,D,20070822,000000,12.431,13.933,12.431,13.933,15863,0
QNT,D,20070823,000000,13.811,13.811,13.394,13.811,11341,0
QNT,D,20070824,000000,13.631,13.805,13.025,13.805,4921,0
QNT,D,20070827,000000,13.539,13.933,13.539,13.691,11722,0
QNT,D,20070828,000000,13.327,13.691,13.054,13.594,900,0
QNT,D,20070829,000000,12.758,13.557,12.758,13.327,1130,0
QNT,D,20070830,000000,13.327,13.586,12.903,13.297,5408,0
QNT,D,20070831,000000,13.025,13.327,12.903,13.206,3647,0
QNT,D,20070903,000000,12.861,13.327,12.782,12.909,2914,0
QNT,D,20070904,000000,13.321,13.327,13.031,13.176,2601,0
QNT,D,20070905,000000,13.115,13.327,12.903,13.327,2459,0
QNT,D,20070906,000000,13.316,13.316,13.267,13.267,1381,0
QNT,D,20070907,000000,13.025,13.085,12.418,12.72,4281,0
QNT,D,20070910,000000,12.72,12.72,12.442,12.454,952,0
QNT,D,20070911,000000,12.449,13.279,12.418,12.435,1729,0
QNT,D,20070912,000000,12.418,13.011,12.418,13.011,531,0
QNT,D,20070913,000000,12.72,12.951,12.431,12.72,1004,0
QNT,D,20070914,000000,12.424,13,12.424,12.515,1130,0
QNT,D,20070917,000000,12.303,12.72,12.297,12.715,1291,0
QNT,D,20070918,000000,12.297,12.72,12.297,12.715,2922,0
QNT,D,20070919,000000,12.836,12.903,12.606,12.72,6743,0
QNT,D,20070920,000000,12.72,12.72,12.484,12.661,2251,0
QNT,D,20070921,000000,12.54,12.661,12.51,12.51,1125,0
QNT,D,20070924,000000,12.54,12.545,11.522,12.418,4314,0
QNT,D,20070925,000000,12.121,12.418,12.116,12.418,772,0
QNT,D,20070926,000000,12.72,12.72,12.183,12.418,1190,0
QNT,D,20070927,000000,12.187,12.413,12.183,12.413,826,0
QNT,D,20070928,000000,12.116,12.352,12.055,12.352,2327,0
QNT,D,20071001,000000,11.843,12.346,11.843,11.879,3311,0
QNT,D,20071002,000000,11.909,12.091,11.751,12.05,2434,0
QNT,D,20071003,000000,11.813,11.813,11.328,11.345,2271,0
QNT,D,20071004,000000,11.274,11.867,11.274,11.867,6532,0
QNT,D,20071005,000000,11.333,11.509,11.333,11.509,586,0
QNT,D,20071008,000000,11.509,11.509,11.509,11.509,1054,0
QNT,D,20071009,000000,11.509,11.57,11.419,11.57,1560,0
QNT,D,20071010,000000,11.509,12.357,11.509,12.073,1506,0
QNT,D,20071011,000000,11.813,12.024,11.813,11.813,461,0
QNT,D,20071012,000000,11.48,11.965,11.48,11.873,1163,0
QNT,D,20071015,000000,11.582,12.03,11.582,12.03,376,0
QNT,D,20071016,000000,11.577,11.861,11.577,11.861,2,0
QNT,D,20071017,000000,11.57,11.807,11.57,11.577,499,0
QNT,D,20071018,000000,11.577,11.807,11.577,11.6,1264,0
QNT,D,20071019,000000,11.6,11.783,11.6,11.783,2026,0
QNT,D,20071022,000000,11.722,11.722,11.63,11.722,1335,0
QNT,D,20071023,000000,11.522,11.6,11.509,11.6,892,0
QNT,D,20071024,000000,11.509,11.6,11.509,11.509,2486,0
QNT,D,20071025,000000,11.509,11.509,11.443,11.509,976,0
QNT,D,20071026,000000,11.443,11.509,11.389,11.401,344,0
QNT,D,20071029,000000,11.509,11.509,11.389,11.389,1139,0
QNT,D,20071030,000000,11.266,11.328,11.266,11.297,467,0
QNT,D,20071031,000000,11.297,11.509,11.206,11.503,3473,0
QNT,D,20071102,000000,11.437,11.503,11.206,11.274,2500,0
QNT,D,20071105,000000,11.509,11.709,11.509,11.624,3016,0
QNT,D,20071106,000000,10.996,11.716,10.996,11.709,4042,0
QNT,D,20071107,000000,11.698,12.261,11.698,12.261,12697,0
QNT,D,20071108,000000,12.055,12.48,11.813,12.116,8913,0
