<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TIM,D,19980216,000000,5.9493,5.9493,5.9493,5.9493,29617,0
TIM,D,19980217,000000,6.3756,6.3756,6.3756,6.3756,62999,0
TIM,D,19980218,000000,6.8645,6.8645,6.8645,6.8645,93050,0
TIM,D,19980219,000000,7.2282,7.2282,7.2282,7.2282,157270,0
TIM,D,19980220,000000,6.9837,6.9837,6.9837,6.9837,43537,0
TIM,D,19980223,000000,6.5573,6.5573,6.5573,6.5573,42259,0
TIM,D,19980224,000000,6.8019,6.8019,6.8019,6.8019,78637,0
TIM,D,19980225,000000,6.6202,6.6202,6.6202,6.6202,22703,0
TIM,D,19980226,000000,6.3756,6.3756,6.3756,6.3756,14066,0
TIM,D,19980227,000000,6.6202,6.6202,6.6202,6.6202,45998,0
TIM,D,19980302,000000,6.6202,6.6202,6.6202,6.6202,36293,0
TIM,D,19980303,000000,6.7392,6.7392,6.7392,6.7392,44638,0
TIM,D,19980304,000000,6.4947,6.4947,6.4947,6.4947,9954,0
TIM,D,19980305,000000,6.2564,6.2564,6.2564,6.2564,16814,0
TIM,D,19980306,000000,6.2564,6.2564,6.2564,6.2564,23136,0
TIM,D,19980309,000000,6.4947,6.4947,6.4947,6.4947,15054,0
TIM,D,19980310,000000,6.4947,6.4947,6.4947,6.4947,16323,0
TIM,D,19980311,000000,6.3756,6.3756,6.3756,6.3756,21695,0
TIM,D,19980312,000000,6.1938,6.1938,6.1938,6.1938,16067,0
TIM,D,19980313,000000,6.3756,6.3756,6.3756,6.3756,19317,0
TIM,D,19980316,000000,6.4947,6.4947,6.4947,6.4947,22918,0
TIM,D,19980317,000000,6.6202,6.6202,6.6202,6.6202,28624,0
TIM,D,19980318,000000,6.4382,6.4382,6.4382,6.4382,15240,0
TIM,D,19980319,000000,6.4382,6.4382,6.4382,6.4382,28039,0
TIM,D,19980320,000000,6.5573,6.5573,6.5573,6.5573,15805,0
TIM,D,19980323,000000,6.6765,6.6765,6.6765,6.6765,28575,0
TIM,D,19980324,000000,6.6765,6.6765,6.6765,6.6765,57180,0
TIM,D,19980325,000000,6.8645,6.8645,6.8645,6.8645,59239,0
TIM,D,19980326,000000,6.6765,6.6765,6.6765,6.6765,27096,0
TIM,D,19980327,000000,6.0119,6.0119,6.0119,6.0119,16932,0
TIM,D,19980330,000000,6.4382,6.4382,6.4382,6.4382,66205,0
TIM,D,19980331,000000,6.3756,6.3756,6.3756,6.3756,11706,0
TIM,D,19980401,000000,6.3756,6.3756,6.3756,6.3756,3852,0
TIM,D,19980402,000000,6.131,6.131,6.131,6.131,26513,0
TIM,D,19980406,000000,6.3756,6.3756,6.3756,6.3756,4881,0
TIM,D,19980407,000000,6.4382,6.4382,6.4382,6.4382,10453,0
TIM,D,19980408,000000,6.3128,6.3128,6.3128,6.3128,25668,0
TIM,D,19980409,000000,6.3128,6.3128,6.3128,6.3128,65020,0
TIM,D,19980414,000000,6.3756,6.3756,6.3756,6.3756,3926,0
TIM,D,19980415,000000,6.4947,6.4947,6.4947,6.4947,13987,0
TIM,D,19980416,000000,6.3756,6.3756,6.3756,6.3756,3948,0
TIM,D,19980417,000000,6.2564,6.2564,6.2564,6.2564,37207,0
TIM,D,19980420,000000,6.3128,6.3128,6.3128,6.3128,13702,0
TIM,D,19980421,000000,6.3128,6.3128,6.3128,6.3128,10144,0
TIM,D,19980422,000000,6.2564,6.2564,6.2564,6.2564,32871,0
TIM,D,19980423,000000,6.1938,6.1938,6.1938,6.1938,14884,0
TIM,D,19980424,000000,6.131,6.131,6.131,6.131,21175,0
TIM,D,19980427,000000,6.2564,6.2564,6.2564,6.2564,8747,0
TIM,D,19980428,000000,6.0119,6.0119,6.0119,6.0119,17187,0
TIM,D,19980429,000000,6.0119,6.0119,6.0119,6.0119,19121,0
TIM,D,19980430,000000,5.7674,5.7674,5.7674,5.7674,18074,0
TIM,D,19980504,000000,5.7674,5.7674,5.7674,5.7674,28978,0
TIM,D,19980505,000000,5.7674,5.7674,5.7674,5.7674,24172,0
TIM,D,19980506,000000,5.6485,5.6485,5.6485,5.6485,6915,0
TIM,D,19980507,000000,5.7048,5.7048,5.7048,5.7048,11284,0
TIM,D,19980508,000000,5.6485,5.6485,5.6485,5.6485,17280,0
TIM,D,19980511,000000,5.6485,5.6485,5.6485,5.6485,11965,0
TIM,D,19980512,000000,5.4039,5.4039,5.4039,5.4039,12067,0
TIM,D,19980513,000000,5.4666,5.4666,5.4666,5.4666,25524,0
TIM,D,19980514,000000,5.5229,5.5229,5.5229,5.5229,11371,0
TIM,D,19980515,000000,5.4039,5.4039,5.4039,5.4039,13340,0
TIM,D,19980518,000000,5.4039,5.4039,5.4039,5.4039,16296,0
TIM,D,19980519,000000,5.4666,5.4666,5.4666,5.4666,34212,0
TIM,D,19980520,000000,5.4666,5.4666,5.4666,5.4666,11604,0
TIM,D,19980521,000000,5.4666,5.4666,5.4666,5.4666,53072,0
TIM,D,19980522,000000,5.4666,5.4666,5.4666,5.4666,5875,0
TIM,D,19980525,000000,5.0089,5.0089,5.0089,5.0089,8498,0
TIM,D,19980526,000000,5.0403,5.0403,5.0403,5.0403,19475,0
TIM,D,19980527,000000,4.5512,4.5512,4.5512,4.5512,24867,0
TIM,D,19980528,000000,4.5512,4.5512,4.5512,4.5512,34659,0
TIM,D,19980529,000000,5.0089,5.0089,5.0089,5.0089,24752,0
TIM,D,19980601,000000,4.5262,4.5262,4.5262,4.5262,2789,0
TIM,D,19980602,000000,4.0999,4.0999,4.0999,4.0999,30895,0
TIM,D,19980603,000000,4.1313,4.1313,4.1313,4.1313,5496,0
TIM,D,19980604,000000,4.2505,4.2505,4.2505,4.2505,11597,0
TIM,D,19980605,000000,4.3695,4.3695,4.3695,4.3695,22542,0
TIM,D,19980608,000000,4.2505,4.2505,4.2505,4.2505,4423,0
