<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TOA,D,20110812,000000,1.837,2.0573,1.8003,2.028,535610,0
TOA,D,20110816,000000,1.9839,2.028,1.8811,1.9766,110861,0
TOA,D,20110817,000000,1.8885,1.9839,1.8811,1.9839,70625,0
TOA,D,20110818,000000,1.9766,1.9912,1.9325,1.9839,51518,0
TOA,D,20110819,000000,1.8958,1.9471,1.8885,1.9471,27548,0
TOA,D,20110822,000000,1.9104,1.9839,1.9032,1.9766,24356,0
TOA,D,20110823,000000,1.9839,1.9839,1.9251,1.9839,7212,0
TOA,D,20110824,000000,1.9178,2.0428,1.9178,2.0428,15703,0
TOA,D,20110825,000000,1.9839,2.0428,1.9839,2.0428,4961,0
TOA,D,20110826,000000,1.9839,2.0428,1.9839,2.0428,2722,0
TOA,D,20110829,000000,1.9619,2.028,1.9619,2.028,2994,0
TOA,D,20110830,000000,1.9619,2.0354,1.9619,2.0354,10276,0
TOA,D,20110831,000000,1.9692,2.0354,1.9692,2.0354,3842,0
TOA,D,20110901,000000,1.9692,2.0354,1.9619,2.0354,17896,0
TOA,D,20110902,000000,1.9692,1.9692,1.9692,1.9692,218,0
TOA,D,20110905,000000,1.9251,1.9251,1.9178,1.9178,584,0
TOA,D,20110906,000000,1.9178,2.0133,1.9178,2.0133,2639,0
TOA,D,20110907,000000,1.9398,2.028,1.9398,2.028,6590,0
TOA,D,20110909,000000,1.9178,2.0428,1.9178,2.0428,2886,0
TOA,D,20110912,000000,1.9251,1.9986,1.9251,1.9986,4143,0
TOA,D,20110913,000000,1.9325,1.9986,1.9104,1.9986,21795,0
TOA,D,20110916,000000,1.9251,1.9251,1.9104,1.9104,544,0
TOA,D,20110919,000000,1.9471,1.9839,1.9471,1.9839,1346,0
TOA,D,20110920,000000,1.9766,1.9839,1.9766,1.9839,15024,0
TOA,D,20110921,000000,1.8443,1.9839,1.8443,1.9839,9902,0
TOA,D,20110923,000000,1.9104,1.9839,1.9104,1.9839,14659,0
TOA,D,20110926,000000,1.9912,2.0207,1.8737,2.0207,29839,0
TOA,D,20110927,000000,2.028,2.0795,2.028,2.0795,29580,0
TOA,D,20110928,000000,2.0941,2.1309,2.0207,2.0795,206454,0
TOA,D,20110929,000000,2.0795,2.1383,2.0795,2.1309,34446,0
TOA,D,20110930,000000,2.1236,2.1677,2.1236,2.1603,272188,0
TOA,D,20111003,000000,1.9545,2.0941,1.9545,2.0941,2109,0
TOA,D,20111004,000000,2.0573,2.0573,2.0573,2.0573,241,0
TOA,D,20111005,000000,2.0573,2.1309,2.0573,2.1309,2467,0
TOA,D,20111006,000000,2.1162,2.1162,2.1162,2.1162,273,0
TOA,D,20111011,000000,2.1089,2.1089,2.1089,2.1089,733,0
TOA,D,20111012,000000,2.0573,2.0941,2.0207,2.0941,6471,0
TOA,D,20111013,000000,2.1089,2.1089,2.0573,2.0573,27559,0
TOA,D,20111017,000000,2.0573,2.1089,2.0573,2.0573,105424,0
TOA,D,20111018,000000,2.0573,2.0941,2.0133,2.0941,9290,0
TOA,D,20111026,000000,1.9912,2.0573,1.9912,2.0573,8165,0
TOA,D,20111028,000000,1.9912,2.0573,1.9912,2.0573,1987,0
TOA,D,20111031,000000,2.0573,2.0573,2.0573,2.0573,1362,0
TOA,D,20111103,000000,2.0207,2.0207,2.0207,2.0207,273,0
TOA,D,20111104,000000,1.9471,2.0573,1.9471,2.0573,1388,0
TOA,D,20111107,000000,2.0573,2.0573,2.0573,2.0573,1702,0
TOA,D,20111108,000000,2.0573,2.0573,2.0573,2.0573,273,0
