<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TRN,D,20080912,000000,2.828,4.41,2.7926,4.0211,14765,0
TRN,D,20080915,000000,4.4275,4.6839,3.8001,4.0211,6079,0
TRN,D,20080916,000000,4.2419,4.4187,4.0652,4.2419,2484,0
TRN,D,20080917,000000,4.3303,4.3303,4.3303,4.3303,57,0
TRN,D,20080918,000000,4.2419,4.4187,4.2419,4.4187,1097,0
TRN,D,20080919,000000,4.4541,4.5513,4.4541,4.5513,2547,0
TRN,D,20080922,000000,4.5071,4.949,4.5071,4.6397,1731,0
TRN,D,20080923,000000,4.6132,4.6839,4.6132,4.6839,28,0
TRN,D,20080924,000000,4.7281,4.7281,4.7281,4.7281,11,0
TRN,D,20080925,000000,4.6662,4.7899,4.6662,4.7899,193,0
TRN,D,20080926,000000,4.949,5.7443,4.949,5.1258,4968,0
TRN,D,20080929,000000,5.1258,5.1258,4.9048,5.1258,1860,0
TRN,D,20080930,000000,5.1258,5.1787,4.9048,5.1787,2359,0
TRN,D,20081001,000000,5.1787,5.1787,4.8164,4.8164,1824,0
TRN,D,20081002,000000,4.949,5.1787,4.949,5.0374,239,0
TRN,D,20081003,000000,5.0374,5.1787,5.0374,5.1699,1625,0
TRN,D,20081006,000000,5.1258,5.2142,5.1258,5.2142,375,0
TRN,D,20081007,000000,5.2142,5.2142,5.2142,5.2142,11,0
TRN,D,20081008,000000,5.1258,5.2583,5.1258,5.2583,61,0
TRN,D,20081009,000000,5.2142,5.2848,4.9048,5.0374,7355,0
TRN,D,20081010,000000,5.0374,5.0374,4.9932,4.9932,416,0
TRN,D,20081013,000000,4.9932,4.9932,4.9932,4.9932,11,0
TRN,D,20081014,000000,5.0374,5.0374,5.0374,5.0374,125,0
TRN,D,20081015,000000,4.9932,4.9932,4.9932,4.9932,11,0
TRN,D,20081016,000000,4.9932,4.9932,4.9932,4.9932,11,0
TRN,D,20081017,000000,4.9932,4.9932,4.9932,4.9932,11,0
TRN,D,20081020,000000,4.9932,4.9932,4.9932,4.9932,11,0
TRN,D,20081021,000000,5.0374,5.0374,5.0374,5.0374,11,0
TRN,D,20081022,000000,5.0374,5.0374,5.0374,5.0374,11,0
TRN,D,20081023,000000,5.0374,5.2494,5.0374,5.2494,22,0
TRN,D,20081028,000000,5.2406,5.2406,5.2406,5.2406,11,0
TRN,D,20081029,000000,5.2406,5.2406,5.0374,5.0374,17,0
TRN,D,20081030,000000,5.0374,5.0374,5.0374,5.0374,11,0
TRN,D,20081031,000000,5.0374,5.0816,5.0374,5.0816,35,0
TRN,D,20081103,000000,5.0816,5.0816,5.0816,5.0816,202,0
TRN,D,20081104,000000,5.2406,5.2583,5.2406,5.2583,383,0
TRN,D,20081105,000000,5.2494,5.2494,5.1699,5.1699,6,0
TRN,D,20081106,000000,5.1699,5.1699,5.1699,5.1699,1,0
TRN,D,20081107,000000,5.1699,5.1699,4.949,4.949,355,0
TRN,D,20081110,000000,4.949,4.949,4.949,4.949,1,0
TRN,D,20081114,000000,4.949,4.949,4.949,4.949,1,0
TRN,D,20081117,000000,4.949,4.949,4.949,4.949,5,0
TRN,D,20081118,000000,4.949,4.949,4.949,4.949,1,0
TRN,D,20081119,000000,4.949,4.949,4.949,4.949,1,0
TRN,D,20081121,000000,4.949,4.949,4.949,4.949,1,0
TRN,D,20081124,000000,5.1258,5.1258,5.1258,5.1258,1,0
TRN,D,20081201,000000,5.2583,5.2583,5.2583,5.2583,1,0
TRN,D,20081202,000000,5.2583,5.2583,5.2583,5.2583,1,0
TRN,D,20081203,000000,5.2583,5.2583,5.2583,5.2583,1,0
TRN,D,20081204,000000,5.2583,5.2583,5.2583,5.2583,1,0
