<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ZWC,D,19910924,000000,3.3782,3.3782,3.3782,3.3782,96150,0
ZWC,D,19911001,000000,3.5333,3.5333,3.5333,3.5333,121269,0
ZWC,D,19911008,000000,3.8785,3.8785,3.8785,3.8785,101746,0
ZWC,D,19911015,000000,4.2624,4.2624,4.2624,4.2624,119119,0
ZWC,D,19911022,000000,4.6851,4.6851,4.6851,4.6851,66248,0
ZWC,D,19911029,000000,5.1471,5.1471,5.1471,5.1471,58638,0
ZWC,D,19911105,000000,5.6475,5.6475,5.6475,5.6475,114899,0
ZWC,D,19911112,000000,5.7597,5.7597,5.7597,5.7597,83878,0
ZWC,D,19911119,000000,5.1857,5.1857,5.1857,5.1857,0,0
ZWC,D,19911126,000000,4.6851,4.6851,4.6851,4.6851,24932,0
ZWC,D,19911203,000000,5.1471,5.1471,5.1471,5.1471,0,0
ZWC,D,19911210,000000,5.6475,5.6475,5.6475,5.6475,154123,0
ZWC,D,19911217,000000,5.108,5.108,5.108,5.108,85104,0
ZWC,D,19911231,000000,5.6086,5.6086,5.6086,5.6086,34175,0
ZWC,D,19920107,000000,5.7597,5.7597,5.7597,5.7597,45485,0
ZWC,D,19920109,000000,5.7597,5.7597,5.7597,5.7597,20216,0
ZWC,D,19920114,000000,5.4144,5.4144,5.4144,5.4144,47141,0
ZWC,D,19920116,000000,5.3754,5.3754,5.3754,5.3754,19958,0
ZWC,D,19920121,000000,5.6086,5.6086,5.6086,5.6086,13124,0
ZWC,D,19920123,000000,5.6863,5.6863,5.6863,5.6863,13801,0
ZWC,D,19920128,000000,5.6086,5.6086,5.6086,5.6086,14778,0
ZWC,D,19920130,000000,5.5697,5.5697,5.5697,5.5697,11834,0
ZWC,D,19920204,000000,5.5308,5.5308,5.5308,5.5308,18031,0
ZWC,D,19920206,000000,5.6086,5.6086,5.6086,5.6086,14539,0
ZWC,D,19920211,000000,5.4921,5.4921,5.4921,5.4921,16486,0
ZWC,D,19920213,000000,5.6863,5.6863,5.6863,5.6863,21516,0
ZWC,D,19920218,000000,5.7597,5.7597,5.7597,5.7597,35486,0
ZWC,D,19920220,000000,5.7597,5.7597,5.7597,5.7597,20548,0
ZWC,D,19920225,000000,5.7985,5.7985,5.7985,5.7985,45076,0
ZWC,D,19920227,000000,6.0314,6.0314,6.0314,6.0314,50932,0
ZWC,D,19920303,000000,6.6048,6.6048,6.6048,6.6048,28269,0
ZWC,D,19920305,000000,6.9157,6.9157,6.9157,6.9157,37085,0
ZWC,D,19920310,000000,7.1451,7.1451,7.1451,7.1451,38063,0
ZWC,D,19920312,000000,7.2607,7.2607,7.2607,7.2607,19349,0
ZWC,D,19920317,000000,6.6048,6.6048,6.6048,6.6048,27105,0
ZWC,D,19920319,000000,6.9157,6.9157,6.9157,6.9157,25116,0
ZWC,D,19920324,000000,6.9157,6.9157,6.9157,6.9157,20955,0
ZWC,D,19920326,000000,6.9504,6.9504,6.9504,6.9504,22174,0
ZWC,D,19920331,000000,6.8381,6.8381,6.8381,6.8381,20108,0
ZWC,D,19920402,000000,6.5318,6.5318,6.5318,6.5318,19977,0
ZWC,D,19920407,000000,6.5318,6.5318,6.5318,6.5318,19817,0
ZWC,D,19920409,000000,6.3377,6.3377,6.3377,6.3377,16469,0
ZWC,D,19920414,000000,6.3377,6.3377,6.3377,6.3377,20196,0
ZWC,D,19920416,000000,6.4544,6.4544,6.4544,6.4544,17998,0
ZWC,D,19920423,000000,6.2602,6.2602,6.2602,6.2602,29350,0
ZWC,D,19920428,000000,5.6475,5.6475,5.6475,5.6475,15590,0
ZWC,D,19920430,000000,5.3754,5.3754,5.3754,5.3754,24470,0
ZWC,D,19920505,000000,5.5697,5.5697,5.5697,5.5697,17423,0
ZWC,D,19920507,000000,5.7597,5.7597,5.7597,5.7597,11018,0
ZWC,D,19920512,000000,5.7597,5.7597,5.7597,5.7597,10527,0
ZWC,D,19920514,000000,5.5308,5.5308,5.5308,5.5308,9164,0
ZWC,D,19920519,000000,5.4534,5.4534,5.4534,5.4534,9405,0
ZWC,D,19920521,000000,4.9184,4.9184,4.9184,4.9184,12670,0
ZWC,D,19920526,000000,5.3754,5.3754,5.3754,5.3754,27038,0
ZWC,D,19920528,000000,5.5697,5.5697,5.5697,5.5697,14388,0
ZWC,D,19920602,000000,5.5308,5.5308,5.5308,5.5308,18891,0
ZWC,D,19920604,000000,5.341,5.341,5.341,5.341,17939,0
ZWC,D,19920609,000000,4.9572,4.9572,4.9572,4.9572,10858,0
ZWC,D,19920611,000000,4.9572,4.9572,4.9572,4.9572,11679,0
ZWC,D,19920616,000000,4.4955,4.4955,4.4955,4.4955,14697,0
ZWC,D,19920623,000000,4.0726,4.0726,4.0726,4.0726,22074,0
ZWC,D,19920625,000000,4.2624,4.2624,4.2624,4.2624,7741,0
ZWC,D,19920630,000000,4.6851,4.6851,4.6851,4.6851,0,0
